,Team,Season Year,Player 01,Player 02,Player 03,Player 04,Player 05,Player 06,Player 07,Player 08,Player 09,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15
12649,CHO,2018,Kemba Walker,Jeremy Lamb,Dwight Howard,Marvin Williams,Michael Kidd-Gilchrist,Frank Kaminsky,Dwayne Bacon,Malik Monk,Johnny O'Bryant,Treveon Graham,Mangok Mathiang,Marcus Paige,,,
12650,MEM,2018,Marc Gasol,Mike Conley,James Ennis III,Jarell Martin,Andrew Harrison,Dillon Brooks,Mario Chalmers,Tyreke Evans,Brandan Wright,,,,,,
12651,DAL,2018,Wesley Matthews,Harrison Barnes,Dennis Smith Jr.,Dirk Nowitzki,Nerlens Noel,Yogi Ferrell,Dwight Powell,J.J. Barea,Devin Harris,Dorian Finney-Smith,,,,,
12652,MIN,2018,Karl-Anthony Towns,Andrew Wiggins,Shabazz Muhammad,Jeff Teague,Taj Gibson,Jamal Crawford,Nemanja Bjelica,Tyus Jones,Gorgui Dieng,Cole Aldrich,Aaron Brooks,Marcus Georges-Hunt,,,
12653,DET,2018,Tobias Harris,Stanley Johnson,Avery Bradley,Andre Drummond,Reggie Jackson,Ish Smith,Henry Ellenson,Jon Leuer,Langston Galloway,Luke Kennard,Eric Moreland,,,,
12654,TOR,2018,Kyle Lowry,DeMar DeRozan,Serge Ibaka,Pascal Siakam,Norman Powell,Delon Wright,Jakob Poeltl,C.J. Miles,OG Anunoby,Fred VanVleet,,,,,
12655,GSW,2018,Klay Thompson,Kevin Durant,Stephen Curry,Draymond Green,Zaza Pachulia,Andre Iguodala,Shaun Livingston,David West,Jordan Bell,Patrick McCaw,,,,,
12656,WAS,2018,Bradley Beal,John Wall,Kelly Oubre Jr.,Marcin Gortat,Otto Porter Jr.,Mike Scott,Jodie Meeks,Tim Frazier,Ian Mahinmi,Jason Smith,,,,,
12657,LAL,2018,Kentavious Caldwell-Pope,Lonzo Ball,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kyle Kuzma,Julius Randle,Jordan Clarkson,Josh Hart,Corey Brewer,Andrew Bogut,,,,
12658,SAS,2018,LaMarcus Aldridge,Danny Green,Kyle Anderson,Dejounte Murray,Pau Gasol,Rudy Gay,Patty Mills,Manu Ginóbili,Brandon Paul,Bryn Forbes,,,,,
12659,MIA,2018,Dion Waiters,Goran Dragić,James Johnson,Josh Richardson,Bam Adebayo,Tyler Johnson,Justise Winslow,Kelly Olynyk,Wayne Ellington,,,,,,
12660,IND,2018,Darren Collison,Victor Oladipo,Thaddeus Young,Bojan Bogdanović,Domantas Sabonis,Cory Joseph,T.J. Leaf,Al Jefferson,Lance Stephenson,Joe Young,Ike Anigbogu,Alex Poythress,Damien Wilkins,,
12661,OKC,2018,Russell Westbrook,Carmelo Anthony,Steven Adams,Andre Roberson,Paul George,Josh Huestis,Jerami Grant,Raymond Felton,Patrick Patterson,Álex Abrines,Terrance Ferguson,,,,
12662,HOU,2018,James Harden,Eric Gordon,Luc Mbah a Moute,Ryan Anderson,Clint Capela,P.J. Tucker,Tarik Black,Demetrius Jackson,Isaiah Canaan,,,,,,
12663,PHI,2018,Robert Covington,J.J. Redick,Ben Simmons,Jerryd Bayless,Joel Embiid,T.J. McConnell,Justin Anderson,Dario Šarić,Amir Johnson,,,,,,
12664,UTA,2018,Rudy Gobert,Rodney Hood,Ricky Rubio,Derrick Favors,Joe Ingles,Thabo Sefolosha,Joe Johnson,Raul Neto,Donovan Mitchell,Ekpe Udoh,,,,,
12665,PHO,2018,Devin Booker,T.J. Warren,Marquese Chriss,Mike James,Tyson Chandler,Alex Len,Tyler Ulis,Dragan Bender,Josh Jackson,Troy Daniels,,,,,
12666,ATL,2018,Malcolm Delaney,Kent Bazemore,Mike Muscala,Taurean Prince,Dewayne Dedmon,Marco Belinelli,John Collins,Isaiah Taylor,Luke Babbitt,Josh Magette,,,,,
12667,CHI,2018,Justin Holiday,Robin Lopez,Jerian Grant,Denzel Valentine,Lauri Markkanen,David Nwaba,Quincy Pondexter,Kay Felder,Cristiano Felício,,,,,,
12668,DAL,2018,Harrison Barnes,Wesley Matthews,Dennis Smith Jr.,Dirk Nowitzki,Nerlens Noel,J.J. Barea,Yogi Ferrell,Dwight Powell,Maxi Kleber,Salah Mejri,Gian Clavell,,,,
12669,MEM,2018,Marc Gasol,Jarell Martin,Mike Conley,James Ennis III,Andrew Harrison,Dillon Brooks,Tyreke Evans,Mario Chalmers,Chandler Parsons,Brandan Wright,,,,,
12670,BOS,2018,Kyrie Irving,Jaylen Brown,Al Horford,Jayson Tatum,Daniel Theis,Marcus Smart,Aron Baynes,Terry Rozier,Semi Ojeleye,Shane Larkin,,,,,
12671,MIL,2018,Giannis Antetokounmpo,Malcolm Brogdon,Khris Middleton,Tony Snell,Thon Maker,Matthew Dellavedova,Greg Monroe,Mirza Teletović,John Henson,DeAndre Liggins,,,,,
12672,LAC,2018,Blake Griffin,Danilo Gallinari,DeAndre Jordan,Austin Rivers,Patrick Beverley,Lou Williams,Wesley Johnson,Sindarius Thornwell,Willie Reed,Sam Dekker,,,,,
12673,POR,2018,CJ McCollum,Damian Lillard,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkić,Ed Davis,Evan Turner,Pat Connaughton,Shabazz Napier,Caleb Swanigan,,,,,
12674,NOP,2018,DeMarcus Cousins,Jrue Holiday,E'Twaun Moore,Dante Cunningham,Darius Miller,Jameer Nelson,Ian Clark,Tony Allen,Cheick Diallo,,,,,,
12675,SAC,2018,George Hill,Willie Cauley-Stein,Zach Randolph,Buddy Hield,Justin Jackson,Bogdan Bogdanović,De'Aaron Fox,Garrett Temple,Kosta Koufos,Skal Labissière,Vince Carter,,,,
12676,DEN,2018,Gary Harris,Nikola Jokić,Paul Millsap,Wilson Chandler,Jamal Murray,Will Barton,Emmanuel Mudiay,Mason Plumlee,Kenneth Faried,Malik Beasley,,,,,
12677,ATL,2018,Taurean Prince,Dennis Schröder,Dewayne Dedmon,Ersan İlyasova,Kent Bazemore,Marco Belinelli,Mike Muscala,Malcolm Delaney,John Collins,Isaiah Taylor,,,,,
12678,HOU,2018,Luc Mbah a Moute,Eric Gordon,James Harden,Ryan Anderson,Clint Capela,P.J. Tucker,Bobby Brown,Tarik Black,,,,,,,
12679,CHO,2018,Kemba Walker,Dwight Howard,Jeremy Lamb,Marvin Williams,Michael Kidd-Gilchrist,Frank Kaminsky,Dwayne Bacon,Malik Monk,Johnny O'Bryant,,,,,,
12680,WAS,2018,Kelly Oubre Jr.,John Wall,Otto Porter Jr.,Marcin Gortat,Bradley Beal,Jodie Meeks,Mike Scott,Ian Mahinmi,Tim Frazier,Tomáš Satoranský,,,,,
12681,GSW,2018,Kevin Durant,Stephen Curry,Klay Thompson,Draymond Green,Zaza Pachulia,Andre Iguodala,Patrick McCaw,David West,Omri Casspi,Kevon Looney,JaVale McGee,Nick Young,,,
12682,TOR,2018,DeMar DeRozan,Kyle Lowry,Serge Ibaka,Pascal Siakam,Norman Powell,C.J. Miles,Jakob Poeltl,OG Anunoby,Fred VanVleet,Delon Wright,,,,,
12683,LAL,2018,Lonzo Ball,Kentavious Caldwell-Pope,Brook Lopez,Brandon Ingram,Larry Nance Jr.,Kyle Kuzma,Julius Randle,Corey Brewer,Josh Hart,Jordan Clarkson,Tyler Ennis,,,,
12684,OKC,2018,Paul George,Russell Westbrook,Carmelo Anthony,Steven Adams,Andre Roberson,Jerami Grant,Patrick Patterson,Josh Huestis,Raymond Felton,Álex Abrines,Terrance Ferguson,,,,
12685,MIN,2018,Jimmy Butler,Jeff Teague,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jamal Crawford,Gorgui Dieng,Shabazz Muhammad,Tyus Jones,Nemanja Bjelica,,,,,
12686,BRK,2018,Caris LeVert,DeMarre Carroll,D'Angelo Russell,Rondae Hollis-Jefferson,Timofey Mozgov,Joe Harris,Spencer Dinwiddie,Allen Crabbe,Quincy Acy,Trevor Booker,Jarrett Allen,Sean Kilpatrick,Tyler Zeller,,
12687,NYK,2018,Tim Hardaway Jr.,Courtney Lee,Kristaps Porziņģis,Jarrett Jack,Enes Freedom,Frank Ntilikina,Doug McDermott,Kyle O'Quinn,Michael Beasley,Willy Hernangómez,Lance Thomas,Damyean Dotson,,,
12688,SAS,2018,LaMarcus Aldridge,Pau Gasol,Kyle Anderson,Dejounte Murray,Danny Green,Rudy Gay,Brandon Paul,Patty Mills,Bryn Forbes,Dāvis Bertāns,Manu Ginóbili,Derrick White,,,
12689,ORL,2018,Evan Fournier,Aaron Gordon,D.J. Augustin,Terrence Ross,Nikola Vučević,Shelvin Mack,Jonathon Simmons,Jonathan Isaac,Bismack Biyombo,Mario Hezonja,Wes Iwundu,Arron Afflalo,Marreese Speights,,
12690,OKC,2018,Paul George,Russell Westbrook,Steven Adams,Carmelo Anthony,Andre Roberson,Jerami Grant,Raymond Felton,Álex Abrines,Josh Huestis,Patrick Patterson,Terrance Ferguson,Nick Collison,Dakari Johnson,,
12691,CHI,2018,Justin Holiday,Lauri Markkanen,Robin Lopez,Jerian Grant,Paul Zipser,Denzel Valentine,Cristiano Felício,Kris Dunn,Quincy Pondexter,David Nwaba,Kay Felder,,,,
12692,PHI,2018,Robert Covington,Ben Simmons,Jerryd Bayless,Dario Šarić,Joel Embiid,T.J. McConnell,Amir Johnson,Justin Anderson,Timothé Luwawu-Cabarrot,Nik Stauskas,,,,,
12693,DAL,2018,Harrison Barnes,Wesley Matthews,Dennis Smith Jr.,Dirk Nowitzki,Nerlens Noel,Yogi Ferrell,J.J. Barea,Dwight Powell,Devin Harris,,,,,,
12694,DET,2018,Andre Drummond,Reggie Jackson,Stanley Johnson,Avery Bradley,Tobias Harris,Anthony Tolliver,Langston Galloway,Ish Smith,Jon Leuer,Henry Ellenson,Reggie Bullock,Eric Moreland,,,
12695,LAC,2018,Blake Griffin,Danilo Gallinari,Patrick Beverley,DeAndre Jordan,Austin Rivers,Lou Williams,Wesley Johnson,Willie Reed,Sindarius Thornwell,Sam Dekker,,,,,
12696,HOU,2018,Ryan Anderson,Trevor Ariza,Luc Mbah a Moute,James Harden,Clint Capela,P.J. Tucker,Bobby Brown,Nenê,Tarik Black,Troy Williams,Demetrius Jackson,Zhou Qi,,,
12697,MEM,2018,Marc Gasol,James Ennis III,Mike Conley,Jarell Martin,Andrew Harrison,Dillon Brooks,Mario Chalmers,Tyreke Evans,Chandler Parsons,Brandan Wright,Deyonta Davis,Ivan Rabb,,,
12698,BOS,2018,Al Horford,Kyrie Irving,Jaylen Brown,Jayson Tatum,Aron Baynes,Marcus Smart,Terry Rozier,Daniel Theis,Shane Larkin,Semi Ojeleye,,,,,
12699,MIA,2018,Goran Dragić,Josh Richardson,James Johnson,Bam Adebayo,Dion Waiters,Kelly Olynyk,Justise Winslow,Tyler Johnson,Wayne Ellington,,,,,,
12700,CLE,2018,LeBron James,Kevin Love,J.R. Smith,Tristan Thompson,Iman Shumpert,Dwyane Wade,Kyle Korver,Jae Crowder,Jeff Green,Channing Frye,Cedi Osman,José Calderón,Ante Žižić,,
12701,NOP,2018,Jrue Holiday,Anthony Davis,E'Twaun Moore,DeMarcus Cousins,Dante Cunningham,Ian Clark,Jameer Nelson,Josh Smith,Cheick Diallo,Tony Allen,Darius Miller,Charles Cooke,Jalen Jones,,
12702,PHO,2018,Devin Booker,Mike James,T.J. Warren,Tyson Chandler,Marquese Chriss,Dragan Bender,Josh Jackson,Alex Len,Tyler Ulis,Troy Daniels,,,,,
12703,POR,2018,Maurice Harkless,Damian Lillard,CJ McCollum,Al-Farouq Aminu,Jusuf Nurkić,Pat Connaughton,Evan Turner,Ed Davis,Zach Collins,,,,,,
12704,LAL,2018,Lonzo Ball,Brandon Ingram,Larry Nance Jr.,Kentavious Caldwell-Pope,Brook Lopez,Kyle Kuzma,Jordan Clarkson,Julius Randle,Josh Hart,Andrew Bogut,Corey Brewer,Tyler Ennis,,,
12705,UTA,2018,Rudy Gobert,Ricky Rubio,Joe Ingles,Derrick Favors,Rodney Hood,Donovan Mitchell,Joe Johnson,Thabo Sefolosha,Ekpe Udoh,Alec Burks,,,,,
12706,MIL,2018,Giannis Antetokounmpo,Khris Middleton,Tony Snell,Malcolm Brogdon,Thon Maker,John Henson,Rashad Vaughn,Matthew Dellavedova,Mirza Teletović,,,,,,
12707,ATL,2018,Taurean Prince,Dennis Schröder,Kent Bazemore,Mike Muscala,Dewayne Dedmon,Marco Belinelli,John Collins,Isaiah Taylor,Luke Babbitt,Malcolm Delaney,,,,,
12708,DEN,2018,Paul Millsap,Gary Harris,Wilson Chandler,Jamal Murray,Nikola Jokić,Mason Plumlee,Will Barton,Emmanuel Mudiay,Malik Beasley,Trey Lyles,Richard Jefferson,,,,
12709,BRK,2018,Rondae Hollis-Jefferson,Allen Crabbe,Caris LeVert,D'Angelo Russell,Timofey Mozgov,Spencer Dinwiddie,Joe Harris,Trevor Booker,Jarrett Allen,Sean Kilpatrick,Tyler Zeller,Isaiah Whitehead,Jacob Wiley,,
12710,ORL,2018,Evan Fournier,Aaron Gordon,Terrence Ross,Nikola Vučević,D.J. Augustin,Jonathon Simmons,Shelvin Mack,Bismack Biyombo,Mario Hezonja,,,,,,
12711,CHO,2018,Kemba Walker,Dwight Howard,Jeremy Lamb,Marvin Williams,Michael Kidd-Gilchrist,Dwayne Bacon,Treveon Graham,Cody Zeller,Malik Monk,Johnny O'Bryant,,,,,
12712,NYK,2018,Tim Hardaway Jr.,Courtney Lee,Kristaps Porziņģis,Jarrett Jack,Enes Freedom,Frank Ntilikina,Lance Thomas,Doug McDermott,Kyle O'Quinn,,,,,,
