,Team,Season Year,Player 01,Player 02,Player 03,Player 04,Player 05,Player 06,Player 07,Player 08,Player 09,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15
0,PHI,2023,Tyrese Maxey,James Harden,Joel Embiid,Tobias Harris,P.J. Tucker,De'Anthony Melton,Danuel House Jr.,Georges Niang,Montrezl Harrell,,,,,,
1,BOS,2023,Jayson Tatum,Jaylen Brown,Marcus Smart,Derrick White,Al Horford,Grant Williams,Malcolm Brogdon,Noah Vonleh,Blake Griffin,Sam Hauser,,,,,
2,LAL,2023,Anthony Davis,LeBron James,Russell Westbrook,Lonnie Walker IV,Patrick Beverley,Kendrick Nunn,Matt Ryan,Austin Reaves,Juan Toscano-Anderson,Wenyen Gabriel,Max Christie,Scotty Pippen Jr.,Cole Swider,,
3,GSW,2023,Stephen Curry,Andrew Wiggins,Draymond Green,Kevon Looney,Klay Thompson,Jordan Poole,JaMychal Green,Donte DiVincenzo,James Wiseman,Jonathan Kuminga,Moses Moody,Ryan Rollins,,,
4,HOU,2023,Kevin Porter Jr.,Jabari Smith Jr.,Jalen Green,Eric Gordon,Bruno Fernando,Kenyon Martin Jr.,Alperen Şengün,Tari Eason,Garrison Mathews,Josh Christopher,,,,,
5,ATL,2023,Dejounte Murray,Trae Young,John Collins,De'Andre Hunter,Clint Capela,Onyeka Okongwu,Justin Holiday,Aaron Holiday,Jalen Johnson,,,,,,
6,NOP,2023,CJ McCollum,Brandon Ingram,Zion Williamson,Herbert Jones,Jonas Valančiūnas,Trey Murphy III,Larry Nance Jr.,Jose Alvarado,Devonte' Graham,Naji Marshall,Dyson Daniels,,,,
7,BRK,2023,Kyrie Irving,Royce O'Neale,Kevin Durant,Nic Claxton,Ben Simmons,Patty Mills,Day'Ron Sharpe,Edmond Sumner,Cam Thomas,Yuta Watanabe,Kessler Edwards,Markieff Morris,,,
8,ORL,2023,Paolo Banchero,Franz Wagner,Wendell Carter Jr.,Terrence Ross,Jalen Suggs,Caleb Houstan,Chuma Okeke,Bol Bol,Mo Bamba,R.J. Hampton,,,,,
9,DET,2023,Cade Cunningham,Bojan Bogdanović,Jaden Ivey,Saddiq Bey,Isaiah Stewart,Jalen Duren,Killian Hayes,Cory Joseph,Hamidou Diallo,Kevin Knox,,,,,
10,WAS,2023,Bradley Beal,Kyle Kuzma,Kristaps Porziņģis,Monte Morris,Deni Avdija,Delon Wright,Will Barton,Rui Hachimura,Daniel Gafford,Anthony Gill,,,,,
11,IND,2023,Tyrese Haliburton,Buddy Hield,Terry Taylor,Jalen Smith,Chris Duarte,Bennedict Mathurin,Aaron Nesmith,T.J. McConnell,Isaiah Jackson,Oshae Brissett,Goga Bitadze,,,,
12,NYK,2023,RJ Barrett,Jalen Brunson,Julius Randle,Evan Fournier,Mitchell Robinson,Isaiah Hartenstein,Cam Reddish,Immanuel Quickley,Obi Toppin,Derrick Rose,,,,,
13,MEM,2023,Santi Aldama,Ja Morant,Desmond Bane,John Konchar,Steven Adams,Tyus Jones,Brandon Clarke,Xavier Tillman Sr.,David Roddy,Jake LaRavia,,,,,
14,CHI,2023,Ayo Dosunmu,DeMar DeRozan,Nikola Vučević,Alex Caruso,Patrick Williams,Coby White,Goran Dragić,Javonte Green,Andre Drummond,,,,,,
15,MIA,2023,Jimmy Butler,Kyle Lowry,Tyler Herro,Bam Adebayo,Caleb Martin,Max Strus,Gabe Vincent,Dewayne Dedmon,Duncan Robinson,,,,,,
16,OKC,2023,Shai Gilgeous-Alexander,Josh Giddey,Luguentz Dort,Aleksej Pokusevski,Kenrich Williams,Tre Mann,Darius Bazley,Eugene Omoruyi,Jeremiah Robinson-Earl,Ousmane Dieng,Mike Muscala,Jalen Williams,,,
17,MIN,2023,Jaden McDaniels,Karl-Anthony Towns,D'Angelo Russell,Rudy Gobert,Anthony Edwards,Kyle Anderson,Jaylen Nowell,Taurean Prince,Jordan McLaughlin,Bryn Forbes,,,,,
18,DAL,2023,Dorian Finney-Smith,Luka Dončić,Reggie Bullock,Spencer Dinwiddie,JaVale McGee,Maxi Kleber,Tim Hardaway Jr.,Christian Wood,Josh Green,,,,,,
19,PHO,2023,Mikal Bridges,Devin Booker,Deandre Ayton,Chris Paul,Cameron Johnson,Damion Lee,Cameron Payne,Jock Landale,Torrey Craig,Bismack Biyombo,Josh Okogie,Dario Šarić,,,
20,POR,2023,Josh Hart,Damian Lillard,Anfernee Simons,Jerami Grant,Jusuf Nurkić,Justise Winslow,Shaedon Sharpe,Drew Eubanks,Nassir Little,,,,,,
21,SAC,2023,De'Aaron Fox,Domantas Sabonis,Harrison Barnes,Kevin Huerter,KZ Okpala,Davion Mitchell,Terence Davis,Malik Monk,Trey Lyles,Richaun Holmes,,,,,
22,CHO,2023,P.J. Washington,Terry Rozier,Gordon Hayward,Kelly Oubre Jr.,Mason Plumlee,Jalen McDaniels,Nick Richards,Dennis Smith Jr.,James Bouknight,JT Thor,Kai Jones,Théo Maledon,Mark Williams,Bryce McGowens,
23,SAS,2023,Keldon Johnson,Devin Vassell,Jeremy Sochan,Jakob Poeltl,Tre Jones,Joshua Primo,Josh Richardson,Doug McDermott,Zach Collins,Gorgui Dieng,Isaiah Roby,Romeo Langford,Keita Bates-Diop,,
24,CLE,2023,Evan Mobley,Caris LeVert,Donovan Mitchell,Jarrett Allen,Darius Garland,Cedi Osman,Dean Wade,Kevin Love,Isaac Okoro,Raul Neto,,,,,
25,TOR,2023,Fred VanVleet,OG Anunoby,Gary Trent Jr.,Pascal Siakam,Scottie Barnes,Precious Achiuwa,Christian Koloko,Thaddeus Young,Dalano Banton,Juancho Hernangómez,,,,,
26,DEN,2023,Michael Porter Jr.,Kentavious Caldwell-Pope,Nikola Jokić,Aaron Gordon,Jamal Murray,Bruce Brown,Bones Hyland,Jeff Green,Davon Reed,DeAndre Jordan,Ish Smith,Christian Braun,Vlatko Čančar,Zeke Nnaji,Peyton Watson
27,UTA,2023,Lauri Markkanen,Mike Conley,Jordan Clarkson,Jarred Vanderbilt,Kelly Olynyk,Rudy Gay,Malik Beasley,Walker Kessler,Collin Sexton,Talen Horton-Tucker,,,,,
28,LAC,2023,Paul George,Ivica Zubac,Reggie Jackson,Marcus Morris,Norman Powell,John Wall,Luke Kennard,Kawhi Leonard,Robert Covington,Nicolas Batum,Terance Mann,,,,
29,LAL,2023,LeBron James,Lonnie Walker IV,Patrick Beverley,Anthony Davis,Russell Westbrook,Austin Reaves,Juan Toscano-Anderson,Matt Ryan,Kendrick Nunn,Damian Jones,,,,,
30,MIL,2023,Giannis Antetokounmpo,Jrue Holiday,Grayson Allen,Brook Lopez,Jevon Carter,Bobby Portis,George Hill,Wesley Matthews,Jordan Nwora,Serge Ibaka,,,,,
31,PHI,2023,James Harden,P.J. Tucker,Joel Embiid,Tyrese Maxey,Tobias Harris,Danuel House Jr.,De'Anthony Melton,Georges Niang,Paul Reed,Montrezl Harrell,,,,,
32,ORL,2023,Franz Wagner,Terrence Ross,Paolo Banchero,Wendell Carter Jr.,Jalen Suggs,Cole Anthony,R.J. Hampton,Mo Bamba,Chuma Okeke,Bol Bol,,,,,
33,ATL,2023,Dejounte Murray,Trae Young,John Collins,De'Andre Hunter,Clint Capela,Justin Holiday,Onyeka Okongwu,Aaron Holiday,Jalen Johnson,,,,,,
34,TOR,2023,Fred VanVleet,OG Anunoby,Pascal Siakam,Gary Trent Jr.,Scottie Barnes,Christian Koloko,Precious Achiuwa,Dalano Banton,Thaddeus Young,,,,,,
35,BRK,2023,Kyrie Irving,Royce O'Neale,Kevin Durant,Nic Claxton,Ben Simmons,Markieff Morris,Joe Harris,Patty Mills,Day'Ron Sharpe,,,,,,
36,NOP,2023,Brandon Ingram,Herbert Jones,CJ McCollum,Zion Williamson,Jonas Valančiūnas,Trey Murphy III,Larry Nance Jr.,Jose Alvarado,Naji Marshall,Devonte' Graham,Willy Hernangómez,,,,
37,CHO,2023,Gordon Hayward,Terry Rozier,Kelly Oubre Jr.,P.J. Washington,Mason Plumlee,Jalen McDaniels,Nick Richards,Dennis Smith Jr.,James Bouknight,,,,,,
38,DEN,2023,Nikola Jokić,Kentavious Caldwell-Pope,Bruce Brown,Aaron Gordon,Michael Porter Jr.,Christian Braun,Bones Hyland,Jeff Green,DeAndre Jordan,Davon Reed,,,,,
39,GSW,2023,Andrew Wiggins,Stephen Curry,Draymond Green,Klay Thompson,Kevon Looney,Jordan Poole,JaMychal Green,James Wiseman,Moses Moody,Donte DiVincenzo,Jonathan Kuminga,,,,
40,MEM,2023,Desmond Bane,Steven Adams,Ja Morant,Santi Aldama,John Konchar,David Roddy,Tyus Jones,Jake LaRavia,Brandon Clarke,Xavier Tillman Sr.,,,,,
41,HOU,2023,Eric Gordon,Jalen Green,Kevin Porter Jr.,Jabari Smith Jr.,Bruno Fernando,Alperen Şengün,Kenyon Martin Jr.,Tari Eason,Garrison Mathews,Josh Christopher,,,,,
42,SAS,2023,Tre Jones,Devin Vassell,Keldon Johnson,Jakob Poeltl,Jeremy Sochan,Josh Richardson,Joshua Primo,Zach Collins,Doug McDermott,Keita Bates-Diop,,,,,
43,IND,2023,Tyrese Haliburton,Buddy Hield,Terry Taylor,Chris Duarte,Jalen Smith,Andrew Nembhard,Bennedict Mathurin,Aaron Nesmith,Goga Bitadze,T.J. McConnell,Isaiah Jackson,James Johnson,,,
44,BOS,2023,Jayson Tatum,Jaylen Brown,Al Horford,Marcus Smart,Derrick White,Grant Williams,Malcolm Brogdon,Noah Vonleh,Sam Hauser,,,,,,
45,MIA,2023,Jimmy Butler,Tyler Herro,Bam Adebayo,Kyle Lowry,Caleb Martin,Gabe Vincent,Max Strus,Dewayne Dedmon,Duncan Robinson,Haywood Highsmith,,,,,
46,UTA,2023,Lauri Markkanen,Mike Conley,Jordan Clarkson,Kelly Olynyk,Jarred Vanderbilt,Malik Beasley,Collin Sexton,Walker Kessler,Talen Horton-Tucker,Rudy Gay,,,,,
47,MIN,2023,Anthony Edwards,D'Angelo Russell,Jaden McDaniels,Rudy Gobert,Karl-Anthony Towns,Jaylen Nowell,Taurean Prince,Jordan McLaughlin,Naz Reid,Austin Rivers,Bryn Forbes,,,,
48,DET,2023,Saddiq Bey,Cade Cunningham,Isaiah Stewart,Jaden Ivey,Bojan Bogdanović,Jalen Duren,Killian Hayes,Hamidou Diallo,Cory Joseph,Kevin Knox,Braxton Key,Rodney McGruder,,,
49,NYK,2023,Jalen Brunson,RJ Barrett,Julius Randle,Mitchell Robinson,Evan Fournier,Immanuel Quickley,Isaiah Hartenstein,Obi Toppin,Cam Reddish,Derrick Rose,Miles McBride,Jericho Sims,Svi Mykhailiuk,Ryan Arcidiacono,
50,PHO,2023,Devin Booker,Deandre Ayton,Mikal Bridges,Chris Paul,Cameron Johnson,Damion Lee,Cameron Payne,Jock Landale,Josh Okogie,Torrey Craig,,,,,
51,POR,2023,Damian Lillard,Anfernee Simons,Josh Hart,Jerami Grant,Jusuf Nurkić,Justise Winslow,Drew Eubanks,Nassir Little,Shaedon Sharpe,,,,,,
52,CHI,2023,DeMar DeRozan,Ayo Dosunmu,Alex Caruso,Nikola Vučević,Patrick Williams,Coby White,Goran Dragić,Andre Drummond,Javonte Green,,,,,,
53,WAS,2023,Bradley Beal,Kyle Kuzma,Kristaps Porziņģis,Monte Morris,Deni Avdija,Rui Hachimura,Delon Wright,Daniel Gafford,Will Barton,Anthony Gill,,,,,
54,CLE,2023,Donovan Mitchell,Caris LeVert,Jarrett Allen,Isaac Okoro,Evan Mobley,Cedi Osman,Kevin Love,Robin Lopez,Raul Neto,Dean Wade,Isaiah Mobley,Lamar Stevens,,,
55,CHI,2023,DeMar DeRozan,Nikola Vučević,Zach LaVine,Ayo Dosunmu,Patrick Williams,Coby White,Derrick Jones Jr.,Alex Caruso,Javonte Green,Andre Drummond,Goran Dragić,Tony Bradley,Dalen Terry,Marko Simonovic,
56,MEM,2023,Ja Morant,Desmond Bane,Steven Adams,Santi Aldama,John Konchar,Tyus Jones,David Roddy,Jake LaRavia,Brandon Clarke,Xavier Tillman Sr.,Kenneth Lofton Jr.,Kennedy Chandler,Vince Williams Jr.,,
57,DAL,2023,Luka Dončić,Spencer Dinwiddie,Dorian Finney-Smith,Reggie Bullock,JaVale McGee,Tim Hardaway Jr.,Christian Wood,Maxi Kleber,Josh Green,Dwight Powell,Theo Pinson,Jaden Hardy,McKinley Wright IV,Tyler Dorsey,
58,OKC,2023,Shai Gilgeous-Alexander,Josh Giddey,Luguentz Dort,Jeremiah Robinson-Earl,Aleksej Pokusevski,Tre Mann,Darius Bazley,Mike Muscala,Kenrich Williams,Aaron Wiggins,Ousmane Dieng,Eugene Omoruyi,Lindy Waters III,,
59,DEN,2023,Nikola Jokić,Kentavious Caldwell-Pope,Aaron Gordon,Michael Porter Jr.,Jamal Murray,Bruce Brown,Jeff Green,Christian Braun,Bones Hyland,Zeke Nnaji,,,,,
60,DET,2023,Saddiq Bey,Jaden Ivey,Cade Cunningham,Bojan Bogdanović,Isaiah Stewart,Jalen Duren,Killian Hayes,Cory Joseph,Isaiah Livers,Hamidou Diallo,,,,,
61,IND,2023,Tyrese Haliburton,Jalen Smith,Aaron Nesmith,Isaiah Jackson,Buddy Hield,Bennedict Mathurin,Goga Bitadze,Chris Duarte,Terry Taylor,T.J. McConnell,Andrew Nembhard,,,,
62,TOR,2023,Pascal Siakam,Gary Trent Jr.,Fred VanVleet,OG Anunoby,Scottie Barnes,Precious Achiuwa,Christian Koloko,Thaddeus Young,Malachi Flynn,Dalano Banton,,,,,
63,MIA,2023,Kyle Lowry,Bam Adebayo,Jimmy Butler,Tyler Herro,Caleb Martin,Max Strus,Gabe Vincent,Duncan Robinson,Dewayne Dedmon,,,,,,
64,HOU,2023,Kevin Porter Jr.,Jalen Green,Kenyon Martin Jr.,Jabari Smith Jr.,Usman Garuba,Alperen Şengün,Tari Eason,Josh Christopher,Daishen Nix,Garrison Mathews,Trevor Hudgins,Boban Marjanović,,,
65,MIL,2023,Jrue Holiday,Brook Lopez,Grayson Allen,Giannis Antetokounmpo,Jevon Carter,George Hill,Bobby Portis,Jordan Nwora,Serge Ibaka,Wesley Matthews,MarJon Beauchamp,A.J. Green,Sandro Mamukelashvili,,
66,BOS,2023,Jayson Tatum,Jaylen Brown,Derrick White,Marcus Smart,Noah Vonleh,Grant Williams,Malcolm Brogdon,Blake Griffin,Sam Hauser,Luke Kornet,Payton Pritchard,,,,
67,ORL,2023,Terrence Ross,Wendell Carter Jr.,Franz Wagner,Paolo Banchero,Cole Anthony,Kevon Harris,Chuma Okeke,Bol Bol,Mo Bamba,R.J. Hampton,,,,,
68,SAS,2023,Devin Vassell,Keldon Johnson,Tre Jones,Jakob Poeltl,Jeremy Sochan,Doug McDermott,Joshua Primo,Josh Richardson,Isaiah Roby,Gorgui Dieng,Zach Collins,Keita Bates-Diop,,,
69,PHI,2023,James Harden,Tyrese Maxey,Joel Embiid,Tobias Harris,P.J. Tucker,Danuel House Jr.,De'Anthony Melton,Georges Niang,Montrezl Harrell,Matisse Thybulle,,,,,
70,LAC,2023,Paul George,Norman Powell,Reggie Jackson,Ivica Zubac,Marcus Morris,Nicolas Batum,Luke Kennard,Robert Covington,Terance Mann,Amir Coffey,,,,,
71,SAC,2023,Domantas Sabonis,Harrison Barnes,De'Aaron Fox,Kevin Huerter,KZ Okpala,Keegan Murray,Davion Mitchell,Malik Monk,Richaun Holmes,Terence Davis,,,,,
72,CHO,2023,Dennis Smith Jr.,Kelly Oubre Jr.,Gordon Hayward,Mason Plumlee,P.J. Washington,Jalen McDaniels,Nick Richards,James Bouknight,JT Thor,Théo Maledon,Bryce McGowens,Mark Williams,Kai Jones,,
73,ATL,2023,Dejounte Murray,John Collins,Trae Young,De'Andre Hunter,Clint Capela,Onyeka Okongwu,Justin Holiday,Aaron Holiday,Jalen Johnson,AJ Griffin,Tyrese Martin,Trent Forrest,Vit Krejci,,
74,WAS,2023,Bradley Beal,Kristaps Porziņģis,Kyle Kuzma,Monte Morris,Deni Avdija,Will Barton,Delon Wright,Rui Hachimura,Daniel Gafford,Anthony Gill,,,,,
75,CLE,2023,Donovan Mitchell,Jarrett Allen,Evan Mobley,Caris LeVert,Isaac Okoro,Cedi Osman,Dean Wade,Robin Lopez,Kevin Love,Raul Neto,,,,,
76,SAC,2023,De'Aaron Fox,Kevin Huerter,Domantas Sabonis,Harrison Barnes,KZ Okpala,Keegan Murray,Malik Monk,Richaun Holmes,Terence Davis,Davion Mitchell,Chimezie Metu,Trey Lyles,,,
77,GSW,2023,Andrew Wiggins,Stephen Curry,Draymond Green,Klay Thompson,Kevon Looney,Jordan Poole,James Wiseman,Moses Moody,JaMychal Green,Donte DiVincenzo,Jonathan Kuminga,,,,
78,PHO,2023,Mikal Bridges,Devin Booker,Chris Paul,Deandre Ayton,Cameron Johnson,Torrey Craig,Jock Landale,Cameron Payne,Landry Shamet,Damion Lee,Josh Okogie,Duane Washington Jr.,,,
79,LAC,2023,Paul George,Marcus Morris,Reggie Jackson,Ivica Zubac,Norman Powell,John Wall,Kawhi Leonard,Luke Kennard,Robert Covington,Nicolas Batum,Terance Mann,Moses Brown,Brandon Boston Jr.,Amir Coffey,Jason Preston
80,POR,2023,Josh Hart,Anfernee Simons,Jerami Grant,Damian Lillard,Jusuf Nurkić,Justise Winslow,Shaedon Sharpe,Nassir Little,Drew Eubanks,,,,,,
81,LAL,2023,LeBron James,Anthony Davis,Lonnie Walker IV,Patrick Beverley,Russell Westbrook,Troy Brown Jr.,Juan Toscano-Anderson,Austin Reaves,Kendrick Nunn,Damian Jones,,,,,
82,UTA,2023,Lauri Markkanen,Kelly Olynyk,Jordan Clarkson,Mike Conley,Jarred Vanderbilt,Walker Kessler,Malik Beasley,Collin Sexton,Rudy Gay,Talen Horton-Tucker,,,,,
83,NOP,2023,CJ McCollum,Herbert Jones,Zion Williamson,Jonas Valančiūnas,Brandon Ingram,Trey Murphy III,Larry Nance Jr.,Jose Alvarado,Devonte' Graham,Naji Marshall,Jaxson Hayes,,,,
84,MIN,2023,Anthony Edwards,Karl-Anthony Towns,Jaden McDaniels,D'Angelo Russell,Rudy Gobert,Jaylen Nowell,Taurean Prince,Jordan McLaughlin,Naz Reid,Bryn Forbes,Nathan Knight,Wendell Moore Jr.,,,
85,OKC,2023,Luguentz Dort,Tre Mann,Jeremiah Robinson-Earl,Josh Giddey,Kenrich Williams,Aaron Wiggins,Ousmane Dieng,Lindy Waters III,Aleksej Pokusevski,Eugene Omoruyi,Mike Muscala,Jaylin Williams,Isaiah Joe,Darius Bazley,
86,BOS,2023,Jayson Tatum,Jaylen Brown,Marcus Smart,Derrick White,Al Horford,Malcolm Brogdon,Grant Williams,Noah Vonleh,Sam Hauser,Justin Jackson,Payton Pritchard,Blake Griffin,Luke Kornet,,
87,CHI,2023,Ayo Dosunmu,DeMar DeRozan,Zach LaVine,Nikola Vučević,Patrick Williams,Alex Caruso,Goran Dragić,Javonte Green,Andre Drummond,Derrick Jones Jr.,Coby White,Tony Bradley,Dalen Terry,,
88,UTA,2023,Jarred Vanderbilt,Lauri Markkanen,Jordan Clarkson,Mike Conley,Kelly Olynyk,Malik Beasley,Talen Horton-Tucker,Simone Fontecchio,Collin Sexton,Rudy Gay,Walker Kessler,Nickeil Alexander-Walker,,,
89,HOU,2023,Jalen Green,Kevin Porter Jr.,Kenyon Martin Jr.,Jabari Smith Jr.,Eric Gordon,Daishen Nix,Tari Eason,Garrison Mathews,Usman Garuba,Josh Christopher,Boban Marjanović,,,,
90,BRK,2023,Kevin Durant,Kyrie Irving,Royce O'Neale,Nic Claxton,Ben Simmons,Joe Harris,Patty Mills,Day'Ron Sharpe,Yuta Watanabe,Edmond Sumner,,,,,
91,MEM,2023,Ja Morant,Santi Aldama,Desmond Bane,Steven Adams,Dillon Brooks,John Konchar,Tyus Jones,Brandon Clarke,Jake LaRavia,David Roddy,,,,,
92,TOR,2023,Gary Trent Jr.,Pascal Siakam,Fred VanVleet,OG Anunoby,Christian Koloko,Precious Achiuwa,Chris Boucher,Dalano Banton,Khem Birch,Malachi Flynn,,,,,
93,MIA,2023,Tyler Herro,Bam Adebayo,Kyle Lowry,Jimmy Butler,Max Strus,Gabe Vincent,Duncan Robinson,Haywood Highsmith,Dewayne Dedmon,,,,,,
94,SAS,2023,Keldon Johnson,Devin Vassell,Jakob Poeltl,Tre Jones,Jeremy Sochan,Joshua Primo,Doug McDermott,Zach Collins,Josh Richardson,Isaiah Roby,,,,,
95,MIN,2023,Karl-Anthony Towns,Anthony Edwards,Rudy Gobert,D'Angelo Russell,Jaden McDaniels,Jaylen Nowell,Jordan McLaughlin,Bryn Forbes,Naz Reid,Taurean Prince,Nathan Knight,,,,
96,ORL,2023,Franz Wagner,Wendell Carter Jr.,Paolo Banchero,Terrence Ross,Cole Anthony,Caleb Houstan,Bol Bol,Mo Bamba,Chuma Okeke,R.J. Hampton,,,,,
97,NYK,2023,RJ Barrett,Julius Randle,Jalen Brunson,Mitchell Robinson,Evan Fournier,Immanuel Quickley,Isaiah Hartenstein,Cam Reddish,Obi Toppin,Derrick Rose,,,,,
98,IND,2023,Tyrese Haliburton,Buddy Hield,Jalen Smith,Isaiah Jackson,Aaron Nesmith,Bennedict Mathurin,Andrew Nembhard,Goga Bitadze,Chris Duarte,Terry Taylor,T.J. McConnell,Oshae Brissett,,,
99,PHI,2023,Tyrese Maxey,James Harden,Tobias Harris,Joel Embiid,P.J. Tucker,Georges Niang,Danuel House Jr.,De'Anthony Melton,Montrezl Harrell,Paul Reed,Shake Milton,Jaden Springer,Furkan Korkmaz,Matisse Thybulle,
100,DEN,2023,Kentavious Caldwell-Pope,Aaron Gordon,Nikola Jokić,Jamal Murray,Michael Porter Jr.,Bruce Brown,Jeff Green,Bones Hyland,Christian Braun,DeAndre Jordan,Davon Reed,Zeke Nnaji,Ish Smith,Peyton Watson,
101,POR,2023,Anfernee Simons,Jerami Grant,Jusuf Nurkić,Damian Lillard,Josh Hart,Nassir Little,Shaedon Sharpe,Drew Eubanks,Keon Johnson,Greg Brown III,Jabari Walker,,,,
102,DAL,2023,Spencer Dinwiddie,Luka Dončić,Reggie Bullock,Dorian Finney-Smith,JaVale McGee,Christian Wood,Maxi Kleber,Josh Green,Facundo Campazzo,,,,,,
103,NOP,2023,Trey Murphy III,CJ McCollum,Naji Marshall,Jose Alvarado,Jonas Valančiūnas,Devonte' Graham,Larry Nance Jr.,Dyson Daniels,Jaxson Hayes,,,,,,
104,LAC,2023,Ivica Zubac,Norman Powell,Reggie Jackson,Terance Mann,Nicolas Batum,Luke Kennard,Amir Coffey,Robert Covington,John Wall,Brandon Boston Jr.,Moses Brown,,,,
105,OKC,2023,Shai Gilgeous-Alexander,Tre Mann,Aaron Wiggins,Luguentz Dort,Jeremiah Robinson-Earl,Kenrich Williams,Darius Bazley,Mike Muscala,Aleksej Pokusevski,Ousmane Dieng,,,,,
106,GSW,2023,Andrew Wiggins,Stephen Curry,Draymond Green,Klay Thompson,Kevon Looney,Jordan Poole,Moses Moody,James Wiseman,JaMychal Green,Jonathan Kuminga,Ty Jerome,,,,
107,PHO,2023,Devin Booker,Chris Paul,Cameron Johnson,Mikal Bridges,Deandre Ayton,Jock Landale,Damion Lee,Landry Shamet,Cameron Payne,Torrey Craig,Josh Okogie,,,,
108,DET,2023,Cade Cunningham,Bojan Bogdanović,Jaden Ivey,Isaiah Stewart,Saddiq Bey,Jalen Duren,Isaiah Livers,Hamidou Diallo,Killian Hayes,Cory Joseph,Kevin Knox,,,,
109,WAS,2023,Monte Morris,Kyle Kuzma,Deni Avdija,Kristaps Porziņģis,Bradley Beal,Will Barton,Rui Hachimura,Daniel Gafford,Delon Wright,Anthony Gill,Johnny Davis,Taj Gibson,Isaiah Todd,Jordan Goodwin,
110,IND,2023,Tyrese Haliburton,Buddy Hield,Jalen Smith,Myles Turner,Aaron Nesmith,Bennedict Mathurin,Chris Duarte,Isaiah Jackson,T.J. McConnell,Andrew Nembhard,Terry Taylor,,,,
111,CHI,2023,Zach LaVine,DeMar DeRozan,Nikola Vučević,Ayo Dosunmu,Patrick Williams,Alex Caruso,Javonte Green,Andre Drummond,Goran Dragić,Coby White,Derrick Jones Jr.,,,,
112,ORL,2023,Paolo Banchero,Franz Wagner,Wendell Carter Jr.,Cole Anthony,Terrence Ross,Kevon Harris,Bol Bol,Caleb Houstan,Mo Bamba,Chuma Okeke,,,,,
113,CLE,2023,Donovan Mitchell,Evan Mobley,Caris LeVert,Dean Wade,Jarrett Allen,Cedi Osman,Kevin Love,Raul Neto,Isaac Okoro,,,,,,
114,LAL,2023,Anthony Davis,LeBron James,Lonnie Walker IV,Patrick Beverley,Austin Reaves,Troy Brown Jr.,Kendrick Nunn,Damian Jones,Juan Toscano-Anderson,Matt Ryan,Max Christie,Wenyen Gabriel,,,
115,DEN,2023,Nikola Jokić,Bruce Brown,Aaron Gordon,Jamal Murray,Kentavious Caldwell-Pope,Christian Braun,Jeff Green,Bones Hyland,DeAndre Jordan,Peyton Watson,Vlatko Čančar,Zeke Nnaji,Ish Smith,Jack White,Davon Reed
116,ATL,2023,Dejounte Murray,Trae Young,John Collins,De'Andre Hunter,Clint Capela,Justin Holiday,Onyeka Okongwu,Aaron Holiday,Jalen Johnson,,,,,,
117,DET,2023,Cade Cunningham,Bojan Bogdanović,Cory Joseph,Saddiq Bey,Isaiah Stewart,Isaiah Livers,Jalen Duren,Killian Hayes,Hamidou Diallo,Kevin Knox,,,,,
118,BRK,2023,Kyrie Irving,Kevin Durant,Royce O'Neale,Ben Simmons,Nic Claxton,Joe Harris,Patty Mills,Day'Ron Sharpe,Yuta Watanabe,Edmond Sumner,,,,,
119,MIL,2023,Giannis Antetokounmpo,Jrue Holiday,Grayson Allen,Brook Lopez,Jevon Carter,George Hill,Bobby Portis,Wesley Matthews,Jordan Nwora,,,,,,
120,SAS,2023,Keldon Johnson,Tre Jones,Josh Richardson,Jakob Poeltl,Jeremy Sochan,Doug McDermott,Zach Collins,Romeo Langford,Keita Bates-Diop,Isaiah Roby,Gorgui Dieng,,,,
121,MIN,2023,Anthony Edwards,Karl-Anthony Towns,Jaden McDaniels,Rudy Gobert,D'Angelo Russell,Jaylen Nowell,Taurean Prince,Jordan McLaughlin,Naz Reid,,,,,,
122,CHO,2023,Gordon Hayward,P.J. Washington,Dennis Smith Jr.,Kelly Oubre Jr.,Mason Plumlee,Jalen McDaniels,Nick Richards,James Bouknight,Théo Maledon,JT Thor,,,,,
123,NYK,2023,Jalen Brunson,Julius Randle,RJ Barrett,Mitchell Robinson,Evan Fournier,Cam Reddish,Immanuel Quickley,Isaiah Hartenstein,Obi Toppin,Derrick Rose,,,,,
124,MIA,2023,Caleb Martin,Tyler Herro,Bam Adebayo,Jimmy Butler,Kyle Lowry,Max Strus,Gabe Vincent,Duncan Robinson,Nikola Jović,Haywood Highsmith,Dru Smith,Dewayne Dedmon,Udonis Haslem,,
125,POR,2023,Josh Hart,Anfernee Simons,Jerami Grant,Damian Lillard,Jusuf Nurkić,Justise Winslow,Shaedon Sharpe,Nassir Little,Drew Eubanks,Keon Johnson,Greg Brown III,Jabari Walker,,,
126,PHI,2023,Tyrese Maxey,Joel Embiid,James Harden,Tobias Harris,P.J. Tucker,De'Anthony Melton,Danuel House Jr.,Georges Niang,Montrezl Harrell,Paul Reed,,,,,
127,TOR,2023,Fred VanVleet,Pascal Siakam,Gary Trent Jr.,OG Anunoby,Scottie Barnes,Precious Achiuwa,Chris Boucher,Christian Koloko,Khem Birch,Dalano Banton,,,,,
