Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Season Year
29,MarJon Beauchamp,SF,24,MIL,2,2,-42.4,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,42.4,,0.0,0.0,-0.1,-1.226,,-29.2,-14.6,-43.8,0.0,2025
30,Goga Bitadze,C,25,ORL,3,17,9.4,.512,.250,.500,12.8,20.3,16.5,8.5,0.0,5.8,29.1,17.1,,0.0,0.0,0.0,.006,,-8.0,-3.2,-11.2,0.0,2025
31,Anthony Black,PG,21,ORL,3,74,14.1,.575,.174,.304,5.9,9.3,7.6,24.9,0.0,4.0,13.3,17.2,,0.1,0.1,0.2,.141,,-2.0,-2.0,-3.9,0.0,2025
32,Bogdan Bogdanović,SG,32,ATL,1,28,6.4,.581,1.000,.333,0.0,6.9,3.8,9.6,0.0,7.4,22.5,13.4,,0.0,0.0,0.0,-0.022,,-4.3,-3.1,-7.3,0.0,2025
33,Adem Bona,PF,21,PHI,2,4,20.5,1.000,.000,.000,23.8,0.0,13.6,0.0,0.0,0.0,0.0,10.2,,0.0,0.0,0.0,.260,,-0.6,-2.1,-2.7,0.0,2025
34,Devin Booker,SG,28,PHO,3,105,15.5,.602,.548,.381,2.4,6.2,4.4,23.5,1.4,1.7,12.5,24.2,,0.2,0.1,0.3,.115,,0.9,-1.8,-0.9,0.0,2025
35,Chris Boucher,PF,32,TOR,3,55,15.3,.477,.591,.545,4.3,26.0,15.1,5.6,2.6,8.7,6.8,21.5,,0.0,0.1,0.1,.073,,-0.4,-0.5,-0.9,0.0,2025
36,Malaki Branham,SG,21,SAS,2,20,23.6,.670,.300,.100,0.0,23.1,13.0,19.5,0.0,8.8,16.1,26.7,,0.0,0.0,0.0,.119,,4.0,1.4,5.4,0.0,2025
37,Christian Braun,SG,23,DEN,2,63,16.2,.617,.190,.095,4.8,18.4,11.4,5.9,2.4,5.3,15.5,17.3,,0.0,0.1,0.1,.103,,-0.4,-0.2,-0.6,0.0,2025
38,Mikal Bridges,SF,28,NYK,2,68,19.4,.680,.400,.200,2.0,0.0,0.9,15.0,0.8,0.0,6.8,20.0,,0.3,-0.1,0.2,.142,,2.1,-2.6,-0.5,0.0,2025
39,Miles Bridges,SF,26,CHO,3,98,14.9,.560,.405,.286,3.1,21.1,12.1,6.8,0.5,2.8,11.3,21.8,,0.1,0.1,0.2,.091,,-1.4,-2.6,-3.9,0.0,2025
40,Dillon Brooks,SG,29,HOU,3,98,10.0,.551,.533,.200,4.7,4.4,4.6,1.4,1.5,0.9,3.0,13.5,,0.1,0.1,0.2,.119,,-3.8,-1.2,-5.0,-0.1,2025
41,Jaylen Brown,SF,28,BOS,3,98,22.5,.526,.387,.306,6.8,24.5,15.1,14.0,3.0,0.0,6.6,33.4,,0.2,0.1,0.4,.180,,1.1,-2.3,-1.2,0.0,2025
42,Jalen Brunson,PG,28,NYK,2,54,28.5,.665,.212,.212,5.2,8.8,7.1,23.4,0.0,0.0,12.2,35.5,,0.2,0.0,0.2,.179,,4.5,-3.5,1.0,0.0,2025
43,Thomas Bryant,C,27,MIA,2,28,24.7,.945,.167,.333,3.7,10.8,7.3,25.0,1.8,7.2,12.7,12.4,,0.1,0.0,0.2,.258,,3.5,3.3,6.8,0.1,2025
44,Alec Burks,SG,33,MIA,1,25,15.2,1.125,1.000,.000,0.0,8.1,4.1,0.0,0.0,4.0,0.0,7.0,,0.1,0.0,0.1,.111,,1.6,-0.9,0.7,0.0,2025
45,Jared Butler,SG,24,WAS,2,20,28.7,.595,.200,.400,0.0,5.9,2.6,44.4,4.6,5.1,0.0,23.2,,0.1,0.0,0.1,.243,,6.4,5.4,11.8,0.1,2025
