Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Season Year
125,Jerami Grant,PF,30,POR,2,73,15.7,.573,.610,.146,0.0,11.3,5.5,10.4,1.3,5.3,10.3,26.4,,0.0,0.0,0.0,.029,,3.5,-1.9,1.6,0.1,2025
126,A.J. Green,SG,25,MIL,2,15,28.2,1.125,1.000,.000,0.0,6.2,3.4,18.3,3.1,0.0,0.0,11.3,,0.1,0.0,0.1,.342,,9.0,2.9,11.9,0.1,2025
127,Draymond Green,PF,34,GSW,2,40,12.5,.698,.429,.286,0.0,17.5,9.4,18.8,4.5,4.4,38.8,12.5,,0.0,0.2,0.2,.206,,-4.6,5.8,1.2,0.0,2025
128,Jalen Green,SG,22,HOU,3,100,20.4,.538,.500,.258,2.8,11.9,7.0,16.2,1.4,0.9,5.2,30.6,,0.2,0.1,0.3,.165,,4.4,-1.3,3.1,0.1,2025
129,Javonte Green,SG,31,NOP,2,45,11.6,.732,.167,.833,2.3,9.8,5.9,2.9,4.1,0.0,19.6,9.4,,0.0,0.1,0.1,.152,,-5.7,1.7,-3.9,0.0,2025
130,Josh Green,SG,24,CHO,1,18,13.0,.500,.600,.000,5.7,11.5,8.6,16.3,2.7,5.2,0.0,11.2,,0.0,0.0,0.1,.157,,-3.6,1.9,-1.7,0.0,2025
131,Quentin Grimes,SG,24,DAL,2,21,-6.4,.167,.167,.000,0.0,10.6,4.7,0.0,0.0,0.0,0.0,11.8,,-0.1,0.0,-0.1,-0.165,,-15.5,-4.9,-20.4,-0.1,2025
132,Rui Hachimura,PF,26,LAL,3,111,15.2,.554,.256,.359,9.3,13.4,11.3,7.2,0.9,1.0,4.2,18.0,,0.2,0.0,0.3,.117,,0.5,-3.3,-2.8,0.0,2025
133,Tyrese Haliburton,PG,24,IND,2,61,3.3,.279,.615,.077,2.1,10.0,6.2,19.3,3.2,2.8,13.0,22.4,,-0.3,0.0,-0.3,-0.204,,-9.1,-3.0,-12.1,-0.2,2025
134,Tim Hardaway Jr.,SG,32,DET,3,89,10.2,.649,.773,.273,0.0,8.1,4.1,6.2,0.5,0.0,3.9,12.3,,0.2,0.0,0.2,.085,,-1.2,-1.3,-2.5,0.0,2025
135,James Harden,SG,35,LAC,2,78,17.6,.534,.359,.564,4.4,22.9,13.4,49.7,1.3,1.4,23.6,35.0,,0.0,0.1,0.1,.073,,0.8,0.8,1.6,0.1,2025
136,Jaden Hardy,SG,22,DAL,2,33,5.1,.506,.800,.200,2.7,3.4,3.0,8.3,0.0,3.2,15.5,16.1,,0.0,0.0,0.0,-0.005,,-5.6,-3.6,-9.2,-0.1,2025
137,Gary Harris,SG,30,ORL,3,43,20.5,.857,1.000,.000,2.5,8.0,5.2,3.7,0.0,6.9,6.7,14.8,,0.1,0.1,0.2,.209,,6.7,-1.0,5.7,0.1,2025
138,Tobias Harris,PF,32,DET,3,102,7.2,.435,.424,.182,3.6,17.6,10.6,10.9,1.0,3.0,12.3,17.0,,-0.1,0.0,-0.1,-0.029,,-5.2,-0.7,-5.9,-0.1,2025
139,Josh Hart,SG,29,NYK,2,61,21.1,.630,.381,.476,9.1,19.4,14.7,13.9,0.8,0.0,13.6,22.5,,0.2,0.0,0.2,.124,,1.4,-1.8,-0.4,0.0,2025
140,Sam Hauser,PF,27,BOS,1,24,11.0,.500,.700,.000,4.6,21.1,12.3,5.8,0.0,0.0,0.0,18.1,,0.0,0.0,0.0,.085,,-4.7,-6.0,-10.7,-0.1,2025
141,Jordan Hawkins,SG,22,NOP,2,57,20.3,.783,.619,.286,1.8,21.3,11.2,2.8,0.0,1.6,7.8,18.6,,0.2,0.1,0.3,.231,,3.5,-1.5,2.1,0.1,2025
142,Jaxson Hayes,C,24,LAL,3,47,22.9,.919,.000,.200,12.3,18.5,15.3,15.0,1.0,4.6,8.4,10.7,,0.2,0.0,0.3,.275,,3.0,1.3,4.3,0.1,2025
143,Scoot Henderson,PG,20,POR,2,56,18.6,.589,.296,.370,1.7,7.4,4.5,35.0,2.5,0.0,13.7,25.8,,0.1,0.0,0.1,.077,,1.2,-1.3,-0.1,0.0,2025
144,Taylor Hendricks,PF,21,UTA,2,53,9.4,.432,.692,.154,5.6,16.6,11.1,0.0,3.5,5.3,6.7,10.9,,0.0,0.0,0.0,.012,,-4.3,-0.2,-4.4,0.0,2025
145,Tyler Herro,SG,25,MIA,2,61,17.8,.631,.480,.320,1.7,14.9,8.4,23.7,0.8,1.7,12.3,23.5,,0.1,0.0,0.2,.121,,0.3,-1.8,-1.5,0.0,2025
146,Buddy Hield,SG,32,GSW,2,35,50.9,.927,.615,.038,2.9,19.9,12.1,38.7,1.3,0.0,3.6,30.4,,0.3,0.1,0.5,.624,,24.7,5.3,30.1,0.3,2025
147,Haywood Highsmith,SF,28,MIA,1,30,12.4,.563,.250,.000,3.5,13.5,8.6,10.8,3.3,3.4,11.1,13.2,,0.0,0.0,0.1,.081,,-4.1,0.3,-3.8,0.0,2025
148,Aaron Holiday,PG,28,HOU,1,2,-3.4,.000,1.000,.000,0.0,0.0,0.0,60.5,0.0,0.0,0.0,19.7,,0.0,0.0,0.0,-0.252,,-7.5,-5.8,-13.2,0.0,2025
149,Jrue Holiday,PG,34,BOS,3,89,13.3,.759,.556,.389,3.7,8.5,6.0,13.0,0.6,1.0,19.2,12.7,,0.2,0.0,0.3,.153,,-0.2,-1.9,-2.2,0.0,2025
150,Ron Holland,SF,19,DET,3,39,10.3,.444,.500,.125,3.1,30.8,17.0,7.6,2.5,2.6,10.6,20.7,,-0.1,0.0,0.0,-0.020,,-5.4,0.7,-4.7,0.0,2025
151,Chet Holmgren,PF,22,OKC,2,65,27.1,.551,.278,.361,9.2,31.2,20.0,12.3,2.1,9.0,8.7,27.7,,0.1,0.3,0.4,.300,,2.4,5.1,7.5,0.2,2025
152,Al Horford,C,38,BOS,3,78,17.7,.737,.737,.000,4.3,16.2,9.8,11.8,2.5,1.2,9.5,11.7,,0.2,0.1,0.3,.204,,3.6,0.3,3.9,0.1,2025
153,Talen Horton-Tucker,SG,24,CHI,3,13,-2.7,.362,.000,4.000,7.5,22.3,14.9,9.2,0.0,0.0,52.1,17.6,,-0.1,0.0,-0.1,-0.215,,-9.6,-4.5,-14.1,0.0,2025
154,Caleb Houstan,SF,22,ORL,2,10,18.2,1.000,1.000,.000,0.0,11.5,5.6,0.0,0.0,0.0,0.0,12.7,,0.0,0.0,0.0,.215,,2.2,-1.2,1.0,0.0,2025
155,Jett Howard,SF,21,ORL,3,18,21.5,.700,.800,.000,0.0,19.2,9.3,0.0,0.0,0.0,0.0,23.5,,0.0,0.0,0.1,.172,,5.4,-3.3,2.1,0.0,2025
156,Kevin Huerter,SG,26,SAC,2,46,9.6,.615,.769,.000,0.0,15.7,8.0,3.0,2.0,0.0,7.1,13.3,,0.0,0.0,0.0,.014,,-2.7,-1.9,-4.5,0.0,2025
157,Jay Huff,C,26,MEM,3,57,27.3,.836,.636,.136,3.7,14.2,9.0,5.5,1.6,8.3,0.0,16.4,,0.3,0.1,0.3,.267,,8.0,0.8,8.9,0.2,2025
158,Ariel Hukporti,C,22,NYK,2,12,9.8,,,,0.0,49.4,26.7,0.0,0.0,27.6,100.0,3.9,,0.0,0.0,0.0,-0.015,,-6.5,6.3,-0.2,0.0,2025
159,De'Andre Hunter,SF,27,ATL,2,59,19.7,.606,.417,.542,4.0,18.1,11.8,10.5,1.6,1.7,0.0,21.2,,0.2,0.0,0.3,.213,,0.0,-2.7,-2.6,0.0,2025
160,Oso Ighodaro,PF,22,PHO,3,26,1.7,.500,.000,.000,9.6,24.9,17.8,0.0,0.0,3.5,50.0,7.0,,0.0,0.0,0.0,-0.001,,-8.5,-1.9,-10.4,-0.1,2025
161,Joe Ingles,SF,37,MIN,3,17,6.1,.000,1.000,.000,6.7,0.0,3.3,44.2,0.0,0.0,0.0,2.6,,0.0,0.0,0.1,.161,,-4.2,1.8,-2.4,0.0,2025
162,Brandon Ingram,SF,27,NOP,2,67,22.8,.592,.326,.140,6.1,18.1,11.9,16.9,2.7,2.7,9.9,31.3,,0.1,0.2,0.2,.166,,2.5,0.3,2.8,0.1,2025
163,Kyrie Irving,PG,32,DAL,2,66,15.1,.464,.308,.051,1.3,6.8,3.7,17.8,3.7,1.6,2.4,25.6,,0.0,0.1,0.1,.068,,-1.9,0.5,-1.4,0.0,2025
164,Jonathan Isaac,PF,27,ORL,1,11,15.1,.307,.500,.500,19.8,10.5,15.3,0.0,4.4,17.9,0.0,18.8,,0.0,0.0,0.0,.074,,-3.4,0.8,-2.7,0.0,2025
165,Jaden Ivey,SG,22,DET,3,99,20.8,.582,.255,.426,7.3,10.9,9.1,23.8,1.0,0.0,6.7,25.8,,0.3,0.0,0.3,.155,,2.5,-1.1,1.4,0.1,2025
166,Andre Jackson Jr.,SG,23,MIL,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.027,,-5.7,-4.7,-10.5,0.0,2025
167,Isaiah Jackson,PF,23,IND,1,15,24.5,.727,.000,.333,17.3,24.3,20.9,25.1,3.3,0.0,22.5,26.2,,0.0,0.0,0.0,.077,,1.4,0.2,1.7,0.0,2025
168,Jaren Jackson Jr.,C,25,MEM,1,23,10.2,.466,.200,.900,4.5,13.2,8.9,6.1,2.0,0.0,6.7,26.1,,0.0,0.0,0.0,-0.008,,-8.0,-4.3,-12.3,-0.1,2025
169,Quenton Jackson,PG,26,IND,1,4,44.7,.532,1.000,2.000,32.4,0.0,15.7,57.8,12.4,0.0,0.0,20.8,,0.0,0.0,0.0,.541,,10.9,10.7,21.6,0.0,2025
170,Reggie Jackson,PG,34,PHI,1,3,-28.8,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,27.2,,0.0,0.0,-0.1,-0.816,,-21.0,-13.2,-34.2,0.0,2025
171,Trayce Jackson-Davis,PF,24,GSW,2,42,28.0,.985,.000,.455,9.7,18.7,14.6,12.4,1.1,0.0,7.0,13.1,,0.2,0.1,0.4,.442,,4.8,1.7,6.5,0.1,2025
172,Bronny James,SG,20,LAL,1,3,-12.4,.000,.500,.000,38.4,0.0,19.9,0.0,0.0,0.0,0.0,28.3,,0.0,0.0,0.0,-0.480,,-13.4,-15.2,-28.6,0.0,2025
173,LeBron James,SF,40,LAL,3,103,20.8,.608,.353,.255,0.0,27.7,13.3,32.8,0.0,3.2,13.7,27.0,,0.2,0.1,0.3,.133,,2.9,-0.7,2.3,0.1,2025
174,Jaime Jaquez Jr.,SF,23,MIA,2,41,13.2,.625,.308,.385,10.2,17.3,13.8,28.3,1.2,0.0,28.3,22.8,,0.0,0.0,0.0,.038,,-2.0,-1.9,-3.9,0.0,2025
175,Daniss Jenkins,PG,23,DET,1,1,-37.5,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.7,,0.0,0.0,0.0,-1.054,,-24.0,-11.7,-35.7,0.0,2025
176,Ty Jerome,SG,27,CLE,3,50,37.1,.844,.211,.632,7.9,6.2,6.9,37.6,3.8,0.0,14.1,24.2,,0.4,0.1,0.5,.479,,11.4,2.0,13.3,0.2,2025
177,Isaiah Joe,SG,25,OKC,2,32,8.2,.464,.714,.000,2.7,5.5,4.1,8.2,0.0,0.0,0.0,17.2,,0.0,0.1,0.1,.132,,-3.8,-0.8,-4.5,0.0,2025
178,AJ Johnson,SG,20,MIL,2,3,-20.2,.000,.000,.000,0.0,31.1,17.0,0.0,0.0,0.0,0.0,28.2,,0.0,0.0,0.0,-0.679,,-26.0,-12.3,-38.3,0.0,2025
179,Cameron Johnson,PF,28,BRK,2,67,8.1,.501,.727,.409,1.6,9.3,5.2,4.5,0.7,3.0,7.2,17.3,,0.0,0.0,0.0,.006,,-4.0,-2.7,-6.8,-0.1,2025
180,Jalen Johnson,SF,23,ATL,2,78,8.1,.429,.292,.708,4.6,17.4,11.6,12.6,3.0,4.0,20.3,21.3,,-0.2,0.1,-0.1,-0.060,,-7.8,-2.3,-10.1,-0.2,2025
181,James Johnson,PF,37,IND,1,4,22.9,1.000,.000,.000,0.0,0.0,0.0,40.7,0.0,21.4,50.0,22.1,,0.0,0.0,0.0,-0.017,,2.9,8.1,11.0,0.0,2025
182,Keldon Johnson,SF,25,SAS,2,54,10.4,.508,.300,.300,2.2,18.8,11.5,5.6,0.9,0.0,8.1,19.6,,0.0,0.0,0.0,.041,,-3.6,-2.9,-6.5,-0.1,2025
183,Keon Johnson,SG,22,BRK,1,2,-7.2,.333,.667,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,,0.0,0.0,0.0,-0.539,,-22.3,-11.8,-34.1,0.0,2025
184,Nikola Jokić,C,29,DEN,2,72,30.5,.644,.385,.308,9.7,20.5,15.0,52.3,2.7,2.3,15.3,30.6,,0.2,0.1,0.4,.249,,11.5,2.2,13.8,0.3,2025
185,Derrick Jones Jr.,SF,27,LAC,2,56,11.4,.750,.429,.000,4.1,6.4,5.2,5.5,2.6,2.0,26.3,14.6,,0.0,0.1,0.1,.088,,-2.6,1.2,-1.3,0.0,2025
186,Dillon Jones,SF,23,OKC,2,5,-4.6,.000,1.000,.000,0.0,17.6,8.7,0.0,8.9,0.0,50.0,15.7,,0.0,0.0,0.0,-0.181,,-16.6,4.2,-12.4,0.0,2025
187,Herbert Jones,SF,26,NOP,2,62,4.1,.333,.400,.000,3.3,5.3,4.3,6.3,2.9,1.5,11.8,11.4,,-0.1,0.1,0.0,.002,,-8.3,-0.4,-8.6,-0.1,2025
188,Kai Jones,C,24,LAC,2,17,18.0,.600,.000,.000,20.0,21.0,20.5,0.0,0.0,6.5,0.0,12.6,,0.0,0.0,0.1,.208,,0.5,-1.2,-0.6,0.0,2025
189,Tre Jones,PG,25,SAS,1,16,12.8,.399,.000,2.000,7.4,0.0,3.2,23.1,3.0,0.0,0.0,10.1,,0.0,0.0,0.0,.117,,-1.5,-0.7,-2.2,0.0,2025
190,Tyus Jones,PG,28,PHO,3,98,17.2,.638,.480,.080,0.0,9.9,5.3,30.0,2.0,1.9,7.2,12.9,,0.3,0.1,0.4,.180,,2.6,0.5,3.1,0.1,2025
191,Cory Joseph,PG,33,ORL,2,10,7.5,.500,.667,.000,0.0,0.0,0.0,14.0,0.0,0.0,0.0,12.7,,0.0,0.0,0.0,.077,,-3.7,-4.2,-8.0,0.0,2025
192,Nikola Jović,PF,21,MIA,2,54,14.7,.536,.545,.136,1.9,15.0,8.6,23.0,2.7,1.9,7.9,20.6,,0.0,0.1,0.1,.091,,-2.4,0.4,-2.0,0.0,2025
193,Yuki Kawamura,PG,23,MEM,2,6,-14.8,.000,1.000,.000,0.0,0.0,0.0,18.9,0.0,0.0,33.3,20.1,,-0.1,0.0,-0.1,-0.496,,-18.5,-11.5,-30.0,0.0,2025
194,Walker Kessler,C,23,UTA,2,50,24.3,.882,.000,.625,17.8,27.4,22.6,10.4,0.9,11.3,28.2,11.0,,0.1,0.0,0.2,.165,,1.1,0.3,1.4,0.0,2025
195,Corey Kispert,SF,25,WAS,2,50,7.1,.533,.600,.000,0.0,14.2,6.3,14.9,0.0,0.0,11.8,13.4,,0.0,0.0,0.0,-0.043,,-5.1,-2.8,-7.8,-0.1,2025
196,Maxi Kleber,PF,33,DAL,2,31,7.4,.500,.400,.000,0.0,18.0,7.9,12.8,0.0,3.4,0.0,6.7,,0.0,0.0,0.1,.082,,-4.9,-0.3,-5.2,0.0,2025
197,Dalton Knecht,SF,23,LAL,3,49,14.5,.681,.750,.125,0.0,5.1,2.4,13.8,2.0,0.0,10.6,16.3,,0.1,0.0,0.1,.120,,0.7,-1.2,-0.5,0.0,2025
198,Tyler Kolek,PG,23,NYK,2,9,12.8,.931,.500,2.000,0.0,0.0,0.0,0.0,0.0,0.0,44.4,35.0,,0.0,0.0,0.0,-0.082,,-2.2,-7.7,-9.8,0.0,2025
199,John Konchar,SG,28,MEM,2,37,19.1,1.042,1.000,1.000,8.5,21.9,15.3,10.1,2.5,2.5,14.8,7.3,,0.1,0.0,0.2,.232,,2.8,1.3,4.2,0.1,2025
200,Luke Kornet,C,29,BOS,3,55,11.4,.571,.000,.000,12.1,11.5,11.8,11.1,1.8,3.4,22.2,7.1,,0.1,0.1,0.2,.141,,-2.6,0.0,-2.6,0.0,2025
201,Vit Krejci,PG,24,ATL,2,26,5.7,.564,.500,.750,0.0,3.7,2.1,10.5,1.8,4.0,15.8,10.2,,0.0,0.0,0.0,.018,,-8.6,-1.4,-10.0,-0.1,2025
202,Jonathan Kuminga,PF,22,GSW,2,37,0.3,.361,.214,.429,2.8,9.4,6.4,5.9,0.0,4.8,19.4,21.6,,-0.1,0.1,0.0,-0.024,,-12.7,-3.3,-16.1,-0.1,2025
203,Kyle Kuzma,PF,29,WAS,2,52,7.0,.357,.281,.313,5.4,16.0,10.1,12.0,0.9,2.0,5.2,29.2,,-0.2,0.0,-0.2,-0.174,,-6.4,-4.7,-11.1,-0.1,2025
204,Jock Landale,C,29,HOU,3,31,25.1,.705,.091,.364,11.9,14.0,12.9,10.7,0.0,0.0,0.0,16.2,,0.2,0.0,0.2,.298,,6.6,-1.6,5.0,0.1,2025
205,Jake LaRavia,PF,23,MEM,3,63,9.1,.579,.444,.778,6.6,16.1,11.4,11.9,0.7,1.5,19.9,9.6,,0.0,0.0,0.1,.061,,-3.1,-1.4,-4.5,0.0,2025
206,Pelle Larsson,SG,23,MIA,1,6,20.4,1.000,.000,.000,0.0,0.0,0.0,0.0,8.2,0.0,0.0,7.3,,0.0,0.0,0.0,.189,,-1.6,5.2,3.6,0.0,2025
207,Zach LaVine,SG,29,CHI,3,104,17.2,.711,.511,.356,1.9,15.8,8.9,11.4,0.8,2.3,22.4,25.7,,0.1,0.2,0.2,.094,,2.3,-1.9,0.4,0.1,2025
208,Damion Lee,SG,32,PHO,1,18,1.7,.333,.667,.000,0.0,18.0,9.7,15.4,0.0,0.0,25.0,10.1,,0.0,0.0,0.0,-0.055,,-7.5,-1.2,-8.7,0.0,2025
209,Alex Len,C,31,SAC,2,15,-0.3,.387,.333,.667,0.0,32.0,16.3,8.4,0.0,13.6,43.6,20.1,,-0.1,0.0,-0.1,-0.261,,-13.3,-0.1,-13.4,0.0,2025
210,Caris LeVert,SG,30,CLE,3,59,30.4,.839,.300,.300,2.2,5.3,3.9,23.6,2.4,4.7,0.0,16.4,,0.4,0.1,0.5,.388,,9.3,2.1,11.4,0.2,2025
211,Damian Lillard,PG,34,MIL,2,74,23.3,.653,.600,.250,4.6,12.6,9.0,28.8,0.0,0.0,15.3,30.0,,0.2,0.0,0.2,.153,,4.4,-4.5,-0.1,0.0,2025
212,Dereck Lively II,C,20,DAL,2,49,24.0,.765,.000,.700,14.4,31.9,22.1,27.8,1.0,0.0,18.7,13.6,,0.2,0.1,0.3,.267,,1.8,1.0,2.8,0.1,2025
213,Kevon Looney,PF,28,GSW,2,28,24.3,.564,.000,.500,36.5,18.7,26.9,12.1,1.6,6.3,17.0,16.3,,0.1,0.1,0.2,.380,,0.9,-0.2,0.7,0.0,2025
214,Brook Lopez,C,36,MIL,2,65,5.6,.360,.571,.286,1.7,15.8,9.4,12.7,0.0,11.5,20.2,19.3,,-0.2,0.1,-0.1,-0.110,,-9.3,0.2,-9.1,-0.1,2025
215,Kyle Lowry,PG,38,PHI,2,53,21.4,.846,.833,.750,0.0,11.9,5.1,25.3,2.7,0.0,11.1,13.8,,0.2,0.0,0.3,.238,,4.2,1.0,5.2,0.1,2025
216,Trey Lyles,PF,29,SAC,2,29,8.2,.368,.900,.200,4.3,16.6,10.5,8.7,3.2,3.5,0.0,16.4,,0.0,0.0,0.0,-0.030,,-4.5,-1.5,-6.0,0.0,2025
217,Sandro Mamukelashvili,PF,25,SAS,1,6,1.5,,,,0.0,46.2,25.9,0.0,0.0,14.7,100.0,7.1,,0.0,0.0,0.0,-0.087,,-12.9,2.1,-10.8,0.0,2025
218,Terance Mann,SG,28,LAC,2,48,4.0,.353,.300,.300,4.7,14.9,9.7,14.3,1.0,0.0,8.1,11.0,,0.0,0.1,0.0,.028,,-7.6,0.3,-7.3,-0.1,2025
219,Tre Mann,PG,23,CHO,3,86,17.0,.550,.435,.196,7.1,9.6,8.4,18.3,1.1,1.1,12.3,26.6,,0.2,0.0,0.2,.111,,1.3,-3.3,-2.0,0.0,2025
220,Lauri Markkanen,PF,27,UTA,2,61,21.4,.582,.375,.656,4.9,22.5,13.7,13.0,0.8,0.0,8.8,28.8,,0.2,0.0,0.1,.117,,5.0,-2.9,2.1,0.1,2025
221,Naji Marshall,SF,27,DAL,2,37,1.7,.182,.364,.000,2.4,6.0,4.0,21.1,1.3,0.0,0.0,12.3,,-0.1,0.0,-0.1,-0.070,,-8.8,-2.4,-11.2,-0.1,2025
222,Caleb Martin,SF,29,PHI,2,71,10.6,.540,.125,.750,10.7,10.7,10.7,15.6,0.0,2.8,22.0,15.7,,0.0,0.0,0.0,.009,,-2.8,-3.1,-5.9,-0.1,2025
223,Cody Martin,SF,29,CHO,3,74,9.4,.483,.650,.200,8.3,14.0,11.1,7.8,0.7,2.5,8.4,12.9,,0.1,0.0,0.1,.068,,-3.2,-2.5,-5.7,-0.1,2025
224,KJ Martin,SF,24,PHI,2,39,8.1,.512,.000,.500,4.9,19.4,11.1,11.3,1.2,2.6,0.0,5.1,,0.0,0.0,0.1,.078,,-4.1,-0.4,-4.5,0.0,2025
225,Garrison Mathews,SG,28,ATL,1,19,13.5,1.031,1.000,.667,0.0,5.1,2.8,0.0,0.0,0.0,0.0,8.6,,0.1,0.0,0.1,.153,,0.6,-4.0,-3.4,0.0,2025
226,Bennedict Mathurin,SG,22,IND,2,51,21.6,.730,.381,.619,2.5,16.7,9.8,6.4,1.0,0.0,13.0,26.7,,0.1,0.0,0.1,.114,,3.7,-3.6,0.2,0.0,2025
227,Karlo Matković,PF,23,NOP,1,1,70.8,,,,100.0,0.0,53.0,0.0,0.0,91.4,,0.0,,0.0,0.0,0.0,.889,,24.3,14.8,39.2,0.0,2025
228,Tyrese Maxey,PG,24,PHI,2,80,9.2,.401,.389,.296,0.0,12.6,5.4,16.5,1.2,1.3,3.2,32.2,,-0.2,0.0,-0.2,-0.091,,-3.2,-4.2,-7.5,-0.1,2025
229,Miles McBride,PG,24,NYK,2,46,24.2,.979,.500,.214,0.0,5.2,2.8,13.0,0.0,0.0,16.4,18.6,,0.3,0.0,0.2,.221,,6.2,-2.0,4.2,0.1,2025
230,Jared McCain,PG,20,PHI,2,8,26.0,.667,.333,.000,11.9,31.6,20.3,26.1,0.0,0.0,0.0,15.3,,0.0,0.0,0.0,.233,,6.1,0.2,6.3,0.0,2025
231,Mac McClung,SG,26,ORL,1,5,14.7,,,,0.0,23.0,11.2,49.2,0.0,0.0,,0.0,,0.0,0.0,0.0,.238,,0.8,1.4,2.2,0.0,2025
232,CJ McCollum,SG,33,NOP,2,70,19.9,.597,.556,.000,0.0,6.3,3.0,19.0,3.3,2.6,2.7,21.9,,0.1,0.1,0.3,.188,,2.6,1.5,4.1,0.1,2025
233,T.J. McConnell,PG,32,IND,2,32,28.4,.815,.000,.167,0.0,15.2,7.8,50.9,1.5,0.0,18.9,22.0,,0.1,0.0,0.1,.192,,6.2,-1.3,4.9,0.1,2025
234,Jaden McDaniels,PF,24,MIN,3,77,6.8,.459,.364,.091,4.5,5.6,5.0,11.4,1.3,3.1,14.9,15.2,,-0.1,0.1,0.0,.021,,-6.0,-0.1,-6.1,-0.1,2025
235,Doug McDermott,SF,33,SAC,1,6,-11.1,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,,0.0,0.0,0.0,-0.233,,-16.4,-4.9,-21.3,0.0,2025
236,Jordan McLaughlin,PG,28,SAC,1,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.041,,-6.5,-4.6,-11.0,0.0,2025
237,De'Anthony Melton,PG,26,GSW,2,33,5.8,.346,.733,.133,3.1,5.3,4.3,26.6,4.1,2.7,15.9,22.2,,0.0,0.1,0.1,.113,,-10.2,0.9,-9.3,-0.1,2025
238,Sam Merrill,SG,28,CLE,3,51,8.4,.507,.875,.250,2.6,4.1,3.4,9.0,1.9,0.0,5.3,15.7,,0.0,0.0,0.1,.091,,-4.3,-2.6,-6.8,-0.1,2025
239,Vasilije Micić,PG,31,CHO,3,45,-2.5,.194,.389,.000,11.3,13.8,12.6,9.2,1.1,0.0,18.2,19.6,,-0.2,0.0,-0.2,-0.216,,-11.4,-5.9,-17.3,-0.2,2025
240,Brandon Miller,SF,22,CHO,1,11,21.2,.676,.500,.250,9.3,0.0,4.7,14.9,4.4,0.0,18.4,19.9,,0.0,0.0,0.0,.165,,4.8,0.1,4.9,0.0,2025
241,Patty Mills,PG,36,UTA,2,34,4.8,.500,.714,.000,0.0,5.8,2.9,4.7,1.4,2.8,12.5,9.1,,0.0,0.0,0.0,-0.044,,-5.9,-1.0,-6.9,0.0,2025
242,Shake Milton,SG,28,BRK,2,23,3.1,.500,.667,.000,0.0,5.4,2.5,11.8,0.0,0.0,0.0,5.4,,0.0,0.0,0.0,.027,,-5.3,-2.4,-7.7,0.0,2025
243,Yves Missi,C,20,NOP,2,45,21.0,.605,.000,.615,11.3,19.6,15.3,9.7,1.0,10.2,5.7,16.1,,0.1,0.1,0.2,.251,,-1.0,1.1,0.1,0.0,2025
244,Ajay Mitchell,SG,22,OKC,2,23,1.9,.250,.125,.000,0.0,7.7,3.8,21.0,3.9,0.0,20.0,17.1,,-0.1,0.1,0.0,-0.038,,-11.7,2.5,-9.2,0.0,2025
245,Davion Mitchell,PG,26,TOR,3,73,3.6,.400,.400,.000,0.0,8.2,4.1,28.1,2.0,1.3,28.6,15.5,,-0.1,0.0,-0.1,-0.096,,-7.2,-2.7,-9.8,-0.1,2025
246,Donovan Mitchell,SG,28,CLE,3,87,22.8,.592,.453,.264,3.0,7.1,5.3,22.2,3.8,1.1,13.2,33.5,,0.1,0.1,0.3,.155,,1.4,-1.4,0.0,0.0,2025
247,Evan Mobley,C,23,CLE,3,91,24.0,.592,.179,.385,8.6,25.0,17.8,14.4,3.1,7.1,13.3,24.7,,0.2,0.2,0.4,.230,,0.7,1.3,2.0,0.1,2025
248,Jonathan Mogbo,PF,23,TOR,3,44,24.3,.554,.200,.600,16.1,16.2,16.2,21.3,5.5,6.5,13.7,20.1,,0.1,0.1,0.2,.191,,3.4,2.8,6.2,0.1,2025
249,Malik Monk,SG,26,SAC,2,54,19.2,.615,.391,.217,0.0,8.9,4.5,25.9,0.9,0.0,0.0,20.4,,0.2,0.0,0.2,.140,,2.1,-2.1,0.0,0.0,2025
250,Moses Moody,SG,22,GSW,2,34,19.2,.617,.619,.095,0.0,7.7,4.2,12.0,2.7,0.0,8.4,27.2,,0.1,0.1,0.2,.269,,0.0,-0.1,0.0,0.0,2025
251,Wendell Moore Jr.,SG,23,DET,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.026,,-6.0,-1.6,-7.6,0.0,2025
252,Ja Morant,PG,25,MEM,3,76,19.6,.591,.293,.634,0.0,9.3,4.7,45.8,0.6,1.2,18.6,34.1,,0.1,0.0,0.1,.094,,1.4,-3.8,-2.4,0.0,2025
253,Monte Morris,PG,29,PHO,3,42,21.8,.567,.600,.533,6.0,10.3,8.3,30.0,3.5,0.0,5.1,21.1,,0.1,0.1,0.2,.217,,3.8,1.0,4.8,0.1,2025
