MIN,Anthony Edwards,Julius Randle,Naz Reid,Rudy Gobert,Jaden McDaniels,Nickeil Alexander-Walker,Donte DiVincenzo,Mike Conley,Rob Dillingham,Luka Garza,Josh Minott,Terrence Shannon Jr.,PJ Dozier,Daishen Nix,Joe Ingles,,,,,,,,,,
NOP,Brandon Ingram,Brandon Boston Jr.,CJ McCollum,Yves Missi,Trey Murphy III,Jeremiah Robinson-Earl,Javonte Green,Jordan Hawkins,Zion Williamson,Jose Alvarado,Dejounte Murray,Jaylen Nowell,Jamal Cain,Antonio Reeves,Herbert Jones,Daniel Theis,Elfrid Payton,Trey Jemison,Karlo Matković,,,,,,
NYK,Jalen Brunson,Karl-Anthony Towns,OG Anunoby,Mikal Bridges,Josh Hart,Miles McBride,Cameron Payne,Tyler Kolek,Jericho Sims,Ariel Hukporti,Pacome Dadiet,Matt Ryan,Precious Achiuwa,Jacob Toppin,,,,,,,,,,,
OKC,Shai Gilgeous-Alexander,Jalen Williams,Luguentz Dort,Aaron Wiggins,Isaiah Joe,Chet Holmgren,Cason Wallace,Ajay Mitchell,Isaiah Hartenstein,Alex Caruso,Kenrich Williams,Ousmane Dieng,Dillon Jones,Adam Flagler,Branden Carlson,Malevy Leons,Alex Reese,Alex Ducas,,,,,,,
ORL,Franz Wagner,Jalen Suggs,Moritz Wagner,Anthony Black,Kentavious Caldwell-Pope,Goga Bitadze,Tristan Da Silva,Paolo Banchero,Jonathan Isaac,Cole Anthony,Wendell Carter Jr.,Jett Howard,Gary Harris,Cory Joseph,Caleb Houstan,Trevelin Queen,Mac McClung,,,,,,,,
PHI,Tyrese Maxey,Jared McCain,Kelly Oubre Jr.,Guerschon Yabusele,Paul George,Caleb Martin,Andre Drummond,KJ Martin,Kyle Lowry,Joel Embiid,Eric Gordon,Ricky Council IV,Reggie Jackson,Adem Bona,Jeff Dowtin,Lester Quiñones,Justin Edwards,,,,,,,,
PHO,Devin Booker,Kevin Durant,Tyus Jones,Bradley Beal,Royce O'Neale,Grayson Allen,Jusuf Nurkić,Ryan Dunn,Josh Okogie,Monte Morris,Mason Plumlee,Oso Ighodaro,Bol Bol,Damion Lee,TyTy Washington Jr.,Collin Gillespie,Jalen Bridges,,,,,,,,
POR,Jerami Grant,Anfernee Simons,Deni Avdija,Shaedon Sharpe,Deandre Ayton,Dalano Banton,Toumani Camara,Scoot Henderson,Donovan Clingan,Kris Murray,Rayan Rupert,Robert Williams,Jabari Walker,Duop Reath,Taze Moore,Justin Minaya,,,,,,,,,
SAC,De'Aaron Fox,Domantas Sabonis,DeMar DeRozan,Keegan Murray,Malik Monk,Kevin Huerter,Keon Ellis,Trey Lyles,Isaac Jones,Doug McDermott,Jordan McLaughlin,Alex Len,Jae Crowder,Colby Jones,Orlando Robinson,Mason Jones,,,,,,,,,
SAS,Victor Wembanyama,Julian Champagnie,Keldon Johnson,Stephon Castle,Harrison Barnes,Chris Paul,Jeremy Sochan,Devin Vassell,Zach Collins,Malaki Branham,Sandro Mamukelashvili,Blake Wesley,Charles Bassey,Tre Jones,Sidy Cissoko,David Duke Jr.,Harrison Ingram,Riley Minix,,,,,,,
TOR,RJ Barrett,Jakob Poeltl,Gradey Dick,Ochai Agbaji,Scottie Barnes,Chris Boucher,Davion Mitchell,Jonathan Mogbo,Jamison Battle,Jamal Shead,Ja'Kobe Walter,Bruno Fernando,Immanuel Quickley,Kelly Olynyk,Garrett Temple,D.J. Carton,Ulrich Chomche,,,,,,,,
Team,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,,,,,,
UTA,John Collins,Collin Sexton,Lauri Markkanen,Keyonte George,Jordan Clarkson,Walker Kessler,Brice Sensabaugh,Johnny Juzang,Kyle Filipowski,Drew Eubanks,Isaiah Collier,Cody Williams,Patty Mills,Svi Mykhailiuk,Micah Potter,Taylor Hendricks,Oscar Tshiebwe,,,,,,,,
WAS,Jordan Poole,Jonas Valančiūnas,Bilal Coulibaly,Alex Sarr,Corey Kispert,Carlton Carrington,Kyle Kuzma,Kyshawn George,Malcolm Brogdon,Jared Butler,Marvin Bagley III,Johnny Davis,Anthony Gill,Justin Champagnie,Patrick Baldwin Jr.,Richaun Holmes,,,,,,,,,
