,mp,mp.1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max.1,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,gmsc_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,index_opp,mp_opp,mp_opp.1,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,gmsc_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp.1,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,gmsc_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,season,date,won
10,240.0,240.0,41.0,91.0,0.451,21.0,44.0,0.477,18.0,22.0,0.818,9.0,34.0,43.0,24.0,7.0,3.0,18.0,25.0,121.0,,,0.601,0.566,0.484,0.242,21.4,85.0,52.4,58.5,6.6,7.3,15.2,100.0,114.7,112.8,,,9.0,20.0,1.0,6.0,9.0,0.75,6.0,7.0,1.0,4.0,9.0,11.0,7.0,2.0,2.0,5.0,5.0,26.0,19.7,13.0,1.105,1.1,1.0,0.583,16.9,68.2,33.3,26.4,2.8,8.7,35.0,27.7,200.0,116.0,WAS,121,0,1,240.0,240.0,39.0,81.0,0.481,15.0,40.0,0.375,26.0,36.0,0.722,6.0,33.0,39.0,32.0,12.0,7.0,16.0,22.0,119.0,,,0.614,0.574,0.494,0.444,15.0,78.6,47.6,82.1,11.4,14.9,14.2,100.0,112.8,114.7,,,11.0,17.0,1.0,4.0,10.0,0.6,8.0,9.0,1.0,3.0,10.0,12.0,13.0,3.0,2.0,6.0,5.0,29.0,27.9,14.0,0.926,1.0,0.9,1.333,15.6,35.4,18.1,48.1,4.6,8.0,24.0,29.7,187.0,126.0,ATL,119,1,2025,2024-10-28,True
11,240.0,240.0,39.0,81.0,0.481,15.0,40.0,0.375,26.0,36.0,0.722,6.0,33.0,39.0,32.0,12.0,7.0,16.0,22.0,119.0,,,0.614,0.574,0.494,0.444,15.0,78.6,47.6,82.1,11.4,14.9,14.2,100.0,112.8,114.7,,,11.0,17.0,1.0,4.0,10.0,0.6,8.0,9.0,1.0,3.0,10.0,12.0,13.0,3.0,2.0,6.0,5.0,29.0,27.9,14.0,0.926,1.0,0.9,1.333,15.6,35.4,18.1,48.1,4.6,8.0,24.0,29.7,187.0,126.0,ATL,119,1,0,240.0,240.0,41.0,91.0,0.451,21.0,44.0,0.477,18.0,22.0,0.818,9.0,34.0,43.0,24.0,7.0,3.0,18.0,25.0,121.0,,,0.601,0.566,0.484,0.242,21.4,85.0,52.4,58.5,6.6,7.3,15.2,100.0,114.7,112.8,,,9.0,20.0,1.0,6.0,9.0,0.75,6.0,7.0,1.0,4.0,9.0,11.0,7.0,2.0,2.0,5.0,5.0,26.0,19.7,13.0,1.105,1.1,1.0,0.583,16.9,68.2,33.3,26.4,2.8,8.7,35.0,27.7,200.0,116.0,WAS,121,0,2025,2024-10-28,False
12,240.0,240.0,37.0,82.0,0.451,8.0,31.0,0.258,26.0,31.0,0.839,8.0,35.0,43.0,18.0,7.0,6.0,17.0,24.0,108.0,,,0.565,0.5,0.378,0.378,19.0,89.7,53.1,48.6,6.8,15.0,15.1,100.0,104.9,115.5,,,14.0,26.0,1.0,2.0,8.0,1.0,17.0,18.0,1.0,4.0,9.0,10.0,7.0,2.0,4.0,7.0,5.0,33.0,33.2,4.0,1.33,1.5,1.0,2.0,14.2,45.0,21.7,43.8,2.9,14.9,100.0,38.9,271.0,123.0,MIL,108,0,1,240.0,240.0,43.0,87.0,0.494,18.0,47.0,0.383,15.0,19.0,0.789,4.0,34.0,38.0,24.0,5.0,5.0,14.0,18.0,119.0,,,0.624,0.598,0.54,0.218,10.3,81.0,46.9,55.8,4.9,9.8,12.8,100.0,115.5,104.9,,,10.0,19.0,0.8,8.0,12.0,1.0,10.0,14.0,1.0,2.0,8.0,8.0,8.0,2.0,2.0,4.0,5.0,30.0,25.8,18.0,1.0,1.0,1.0,0.737,9.7,25.1,14.0,31.9,3.4,9.6,100.0,33.7,242.0,112.0,BOS,119,1,2025,2024-10-28,False
13,240.0,240.0,43.0,87.0,0.494,18.0,47.0,0.383,15.0,19.0,0.789,4.0,34.0,38.0,24.0,5.0,5.0,14.0,18.0,119.0,,,0.624,0.598,0.54,0.218,10.3,81.0,46.9,55.8,4.9,9.8,12.8,100.0,115.5,104.9,,,10.0,19.0,0.8,8.0,12.0,1.0,10.0,14.0,1.0,2.0,8.0,8.0,8.0,2.0,2.0,4.0,5.0,30.0,25.8,18.0,1.0,1.0,1.0,0.737,9.7,25.1,14.0,31.9,3.4,9.6,100.0,33.7,242.0,112.0,BOS,119,1,0,240.0,240.0,37.0,82.0,0.451,8.0,31.0,0.258,26.0,31.0,0.839,8.0,35.0,43.0,18.0,7.0,6.0,17.0,24.0,108.0,,,0.565,0.5,0.378,0.378,19.0,89.7,53.1,48.6,6.8,15.0,15.1,100.0,104.9,115.5,,,14.0,26.0,1.0,2.0,8.0,1.0,17.0,18.0,1.0,4.0,9.0,10.0,7.0,2.0,4.0,7.0,5.0,33.0,33.2,4.0,1.33,1.5,1.0,2.0,14.2,45.0,21.7,43.8,2.9,14.9,100.0,38.9,271.0,123.0,MIL,108,0,2025,2024-10-28,True
14,240.0,240.0,34.0,92.0,0.37,10.0,35.0,0.286,24.0,29.0,0.828,15.0,35.0,50.0,24.0,7.0,5.0,15.0,17.0,102.0,,,0.487,0.424,0.38,0.315,28.8,72.9,50.0,70.6,7.0,8.9,12.5,100.0,101.3,109.2,,,9.0,18.0,0.818,3.0,7.0,0.667,6.0,8.0,1.0,4.0,7.0,11.0,5.0,2.0,2.0,3.0,5.0,23.0,18.9,4.0,0.901,0.909,1.0,0.727,12.3,23.4,17.6,52.3,4.7,5.7,17.1,34.1,229.0,114.0,UTA,102,0,1,240.0,240.0,43.0,95.0,0.453,11.0,39.0,0.282,13.0,17.0,0.765,13.0,37.0,50.0,27.0,9.0,12.0,14.0,23.0,110.0,,,0.537,0.511,0.411,0.179,27.1,71.2,50.0,62.8,8.9,21.1,12.0,100.0,109.2,101.3,,,8.0,22.0,0.7,4.0,11.0,0.75,4.0,6.0,1.0,4.0,10.0,11.0,9.0,4.0,3.0,4.0,5.0,23.0,22.2,14.0,0.814,0.9,1.0,0.8,19.6,31.6,19.7,37.6,5.7,12.4,50.0,37.5,153.0,115.0,DAL,110,1,2025,2024-10-28,False
15,240.0,240.0,43.0,95.0,0.453,11.0,39.0,0.282,13.0,17.0,0.765,13.0,37.0,50.0,27.0,9.0,12.0,14.0,23.0,110.0,,,0.537,0.511,0.411,0.179,27.1,71.2,50.0,62.8,8.9,21.1,12.0,100.0,109.2,101.3,,,8.0,22.0,0.7,4.0,11.0,0.75,4.0,6.0,1.0,4.0,10.0,11.0,9.0,4.0,3.0,4.0,5.0,23.0,22.2,14.0,0.814,0.9,1.0,0.8,19.6,31.6,19.7,37.6,5.7,12.4,50.0,37.5,153.0,115.0,DAL,110,1,0,240.0,240.0,34.0,92.0,0.37,10.0,35.0,0.286,24.0,29.0,0.828,15.0,35.0,50.0,24.0,7.0,5.0,15.0,17.0,102.0,,,0.487,0.424,0.38,0.315,28.8,72.9,50.0,70.6,7.0,8.9,12.5,100.0,101.3,109.2,,,9.0,18.0,0.818,3.0,7.0,0.667,6.0,8.0,1.0,4.0,7.0,11.0,5.0,2.0,2.0,3.0,5.0,23.0,18.9,4.0,0.901,0.909,1.0,0.727,12.3,23.4,17.6,52.3,4.7,5.7,17.1,34.1,229.0,114.0,UTA,102,0,2025,2024-10-28,True
16,240.0,240.0,45.0,100.0,0.45,25.0,53.0,0.472,11.0,17.0,0.647,11.0,39.0,50.0,36.0,5.0,6.0,9.0,15.0,126.0,,,0.586,0.575,0.53,0.17,20.8,68.4,45.5,80.0,4.8,8.8,7.7,100.0,120.3,117.4,,,12.0,22.0,0.8,5.0,12.0,1.0,5.0,9.0,1.0,4.0,9.0,13.0,8.0,1.0,2.0,2.0,4.0,30.0,23.1,16.0,0.893,1.1,1.0,1.8,13.0,51.2,26.5,40.4,4.0,5.7,100.0,32.1,182.0,125.0,CHI,126,0,1,240.0,240.0,51.0,111.0,0.459,14.0,43.0,0.326,7.0,13.0,0.538,18.0,42.0,60.0,37.0,5.0,9.0,10.0,21.0,123.0,,,0.527,0.523,0.387,0.117,31.6,79.2,54.5,72.5,4.8,19.1,7.9,100.0,117.4,120.3,,,11.0,19.0,0.636,6.0,10.0,0.667,2.0,5.0,1.0,4.0,9.0,13.0,10.0,2.0,3.0,2.0,4.0,30.0,24.6,15.0,0.85,0.8,0.727,0.455,12.5,26.8,16.2,37.6,3.7,12.5,20.0,29.2,148.0,126.0,MEM,123,1,2025,2024-10-28,True
17,240.0,240.0,51.0,111.0,0.459,14.0,43.0,0.326,7.0,13.0,0.538,18.0,42.0,60.0,37.0,5.0,9.0,10.0,21.0,123.0,,,0.527,0.523,0.387,0.117,31.6,79.2,54.5,72.5,4.8,19.1,7.9,100.0,117.4,120.3,,,11.0,19.0,0.636,6.0,10.0,0.667,2.0,5.0,1.0,4.0,9.0,13.0,10.0,2.0,3.0,2.0,4.0,30.0,24.6,15.0,0.85,0.8,0.727,0.455,12.5,26.8,16.2,37.6,3.7,12.5,20.0,29.2,148.0,126.0,MEM,123,1,0,240.0,240.0,45.0,100.0,0.45,25.0,53.0,0.472,11.0,17.0,0.647,11.0,39.0,50.0,36.0,5.0,6.0,9.0,15.0,126.0,,,0.586,0.575,0.53,0.17,20.8,68.4,45.5,80.0,4.8,8.8,7.7,100.0,120.3,117.4,,,12.0,22.0,0.8,5.0,12.0,1.0,5.0,9.0,1.0,4.0,9.0,13.0,8.0,1.0,2.0,2.0,4.0,30.0,23.1,16.0,0.893,1.1,1.0,1.8,13.0,51.2,26.5,40.4,4.0,5.7,100.0,32.1,182.0,125.0,CHI,126,0,2025,2024-10-28,False
18,240.0,240.0,35.0,91.0,0.385,14.0,38.0,0.368,14.0,17.0,0.824,19.0,35.0,54.0,14.0,6.0,6.0,17.0,19.0,98.0,,,0.498,0.462,0.418,0.187,35.8,77.8,55.1,40.0,6.3,14.6,14.7,100.0,103.5,111.9,,,9.0,18.0,0.833,5.0,9.0,0.571,7.0,7.0,1.0,7.0,8.0,15.0,6.0,2.0,3.0,5.0,4.0,24.0,17.7,7.0,0.833,0.833,0.6,0.7,33.0,44.4,38.2,36.5,3.1,12.2,43.6,29.0,186.0,121.0,DET,98,0,1,240.0,240.0,38.0,88.0,0.432,15.0,47.0,0.319,15.0,20.0,0.75,10.0,34.0,44.0,24.0,14.0,3.0,12.0,14.0,106.0,,,0.548,0.517,0.534,0.227,22.2,64.2,44.9,63.2,14.8,5.7,11.0,100.0,111.9,103.5,,,7.0,20.0,0.636,5.0,12.0,0.667,9.0,11.0,1.0,3.0,9.0,10.0,7.0,4.0,3.0,2.0,3.0,23.0,27.8,17.0,0.726,0.636,1.0,1.0,15.8,23.4,14.5,35.5,6.0,7.8,28.6,30.4,168.0,116.0,MIA,106,1,2025,2024-10-28,False
19,240.0,240.0,38.0,88.0,0.432,15.0,47.0,0.319,15.0,20.0,0.75,10.0,34.0,44.0,24.0,14.0,3.0,12.0,14.0,106.0,,,0.548,0.517,0.534,0.227,22.2,64.2,44.9,63.2,14.8,5.7,11.0,100.0,111.9,103.5,,,7.0,20.0,0.636,5.0,12.0,0.667,9.0,11.0,1.0,3.0,9.0,10.0,7.0,4.0,3.0,2.0,3.0,23.0,27.8,17.0,0.726,0.636,1.0,1.0,15.8,23.4,14.5,35.5,6.0,7.8,28.6,30.4,168.0,116.0,MIA,106,1,0,240.0,240.0,35.0,91.0,0.385,14.0,38.0,0.368,14.0,17.0,0.824,19.0,35.0,54.0,14.0,6.0,6.0,17.0,19.0,98.0,,,0.498,0.462,0.418,0.187,35.8,77.8,55.1,40.0,6.3,14.6,14.7,100.0,103.5,111.9,,,9.0,18.0,0.833,5.0,9.0,0.571,7.0,7.0,1.0,7.0,8.0,15.0,6.0,2.0,3.0,5.0,4.0,24.0,17.7,7.0,0.833,0.833,0.6,0.7,33.0,44.4,38.2,36.5,3.1,12.2,43.6,29.0,186.0,121.0,DET,98,0,2025,2024-10-28,True
