,Team,Season Year,Player 01,Player 02,Player 03,Player 04,Player 05,Player 06,Player 07,Player 08,Player 09,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15
28,PHO,2024,Kevin Durant,Grayson Allen,Josh Okogie,Eric Gordon,Jusuf Nurkić,Jordan Goodwin,Drew Eubanks,Yuta Watanabe,Nassir Little,,,,,,
29,LAL,2024,Anthony Davis,LeBron James,D'Angelo Russell,Austin Reaves,Taurean Prince,Gabe Vincent,Christian Wood,Rui Hachimura,Cam Reddish,Jaxson Hayes,,,,,
30,PHI,2024,Tyrese Maxey,Tobias Harris,Joel Embiid,P.J. Tucker,De'Anthony Melton,Kelly Oubre Jr.,Danny Green,Patrick Beverley,Paul Reed,Jaden Springer,,,,,
31,MIL,2024,Damian Lillard,Giannis Antetokounmpo,Malik Beasley,Brook Lopez,Khris Middleton,Jae Crowder,Pat Connaughton,Bobby Portis,MarJon Beauchamp,Cameron Payne,,,,,
32,NYK,2024,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Quentin Grimes,Immanuel Quickley,Josh Hart,Donte DiVincenzo,Isaiah Hartenstein,,,,,,
33,ATL,2024,Trae Young,Dejounte Murray,De'Andre Hunter,Clint Capela,Saddiq Bey,Jalen Johnson,Bogdan Bogdanović,Onyeka Okongwu,AJ Griffin,,,,,,
34,MIA,2024,Tyler Herro,Bam Adebayo,Jimmy Butler,Kyle Lowry,Kevin Love,Duncan Robinson,Dru Smith,Jaime Jaquez Jr.,Thomas Bryant,Jamal Cain,,,,,
35,BOS,2024,Jayson Tatum,Jrue Holiday,Derrick White,Jaylen Brown,Kristaps Porziņģis,Al Horford,Oshae Brissett,Payton Pritchard,Sam Hauser,,,,,,
36,TOR,2024,Pascal Siakam,Scottie Barnes,Dennis Schröder,OG Anunoby,Jakob Poeltl,Gary Trent Jr.,Precious Achiuwa,Jalen McDaniels,Chris Boucher,Gradey Dick,Malachi Flynn,,,,
37,CHI,2024,DeMar DeRozan,Nikola Vučević,Coby White,Zach LaVine,Patrick Williams,Alex Caruso,Torrey Craig,Jevon Carter,Andre Drummond,Ayo Dosunmu,,,,,
