,Team,Season Year,Player 01,Player 02,Player 03,Player 04,Player 05,Player 06,Player 07,Player 08,Player 09,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15
8542,BOS,2021,Jayson Tatum,Jaylen Brown,Daniel Theis,Jeff Teague,Tristan Thompson,Tremont Waters,Robert Williams,Grant Williams,Javonte Green,Semi Ojeleye,Carsen Edwards,,,,
8543,SAC,2021,Buddy Hield,De'Aaron Fox,Harrison Barnes,Richaun Holmes,Marvin Bagley III,Tyrese Haliburton,Cory Joseph,Hassan Whiteside,Glenn Robinson III,,,,,,
8544,MIN,2021,Naz Reid,Malik Beasley,Anthony Edwards,D'Angelo Russell,Josh Okogie,Ricky Rubio,Jaden McDaniels,Jaylen Nowell,Jarred Vanderbilt,Jake Layman,,,,,
8545,SAS,2021,DeMar DeRozan,Jakob Poeltl,Dejounte Murray,Lonnie Walker IV,Keldon Johnson,Patty Mills,Derrick White,Devin Vassell,Trey Lyles,Drew Eubanks,,,,,
8546,UTA,2021,Donovan Mitchell,Bojan Bogdanović,Royce O'Neale,Rudy Gobert,Mike Conley,Joe Ingles,Jordan Clarkson,Derrick Favors,Georges Niang,Miye Oni,Jarrell Brantley,Juwan Morgan,Shaquille Harrison,,
8547,ATL,2021,Kevin Huerter,John Collins,Cam Reddish,Rajon Rondo,Clint Capela,Tony Snell,Brandon Goodwin,Danilo Gallinari,Solomon Hill,Nathan Knight,Bruno Fernando,Skylar Mays,,,
8548,GSW,2021,Juan Toscano-Anderson,Kelly Oubre Jr.,Stephen Curry,Andrew Wiggins,Draymond Green,Damion Lee,Brad Wanamaker,Kent Bazemore,Mychal Mulder,,,,,,
8549,DAL,2021,Luka Dončić,Josh Richardson,Dorian Finney-Smith,Kristaps Porziņģis,Maxi Kleber,Tim Hardaway Jr.,Jalen Brunson,Dwight Powell,Trey Burke,James Johnson,Boban Marjanović,Willie Cauley-Stein,Josh Green,Wes Iwundu,
8550,DEN,2021,Jamal Murray,Will Barton,Nikola Jokić,Paul Millsap,JaMychal Green,Monte Morris,Michael Porter Jr.,Isaiah Hartenstein,Zeke Nnaji,Bol Bol,Vlatko Čančar,R.J. Hampton,Markus Howard,Facundo Campazzo,
8551,LAL,2021,LeBron James,Anthony Davis,Dennis Schröder,Kentavious Caldwell-Pope,Marc Gasol,Kyle Kuzma,Montrezl Harrell,Talen Horton-Tucker,Alex Caruso,Quinn Cook,Alfonzo McKinnie,,,,
8552,HOU,2021,P.J. Tucker,Eric Gordon,Jae'Sean Tate,John Wall,Christian Wood,Danuel House Jr.,Sterling Brown,DeMarcus Cousins,Ben McLemore,Mason Jones,Rodions Kurucs,,,,
8553,MEM,2021,Ja Morant,Dillon Brooks,Brandon Clarke,Kyle Anderson,Xavier Tillman Sr.,Desmond Bane,De'Anthony Melton,Gorgui Dieng,Tyus Jones,John Konchar,,,,,
8554,POR,2021,Gary Trent Jr.,Robert Covington,Rodney Hood,Enes Freedom,Carmelo Anthony,CJ Elleby,Anfernee Simons,Harry Giles,Keljin Blevins,,,,,,
8555,PHI,2021,Furkan Korkmaz,Joel Embiid,Tobias Harris,Danny Green,Seth Curry,Matisse Thybulle,Shake Milton,Tyrese Maxey,Dwight Howard,Isaiah Joe,Tony Bradley,Vincent Poirier,,,
8556,TOR,2021,Pascal Siakam,Fred VanVleet,Kyle Lowry,Norman Powell,Aron Baynes,Chris Boucher,DeAndre' Bembry,Stanley Johnson,Yuta Watanabe,,,,,,
8557,BRK,2021,James Harden,Joe Harris,Kyrie Irving,Bruce Brown,DeAndre Jordan,Jeff Green,Landry Shamet,Kevin Durant,Timothé Luwawu-Cabarrot,,,,,,
8558,UTA,2021,Bojan Bogdanović,Royce O'Neale,Donovan Mitchell,Rudy Gobert,Mike Conley,Joe Ingles,Jordan Clarkson,Derrick Favors,Georges Niang,Miye Oni,,,,,
8559,CHO,2021,LaMelo Ball,Gordon Hayward,Terry Rozier,Cody Zeller,Devonte' Graham,Malik Monk,Caleb Martin,Bismack Biyombo,Miles Bridges,Cody Martin,,,,,
8560,MIL,2021,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Brook Lopez,Donte DiVincenzo,Bobby Portis,D.J. Augustin,Pat Connaughton,Bryn Forbes,Torrey Craig,Jaylen Adams,,,,
8561,CLE,2021,Collin Sexton,Taurean Prince,Isaac Okoro,Andre Drummond,Darius Garland,Cedi Osman,Jarrett Allen,Lamar Stevens,Dylan Windler,Dean Wade,,,,,
8562,NOP,2021,Brandon Ingram,Lonzo Ball,Zion Williamson,Steven Adams,Eric Bledsoe,Josh Hart,Willy Hernangómez,Nickeil Alexander-Walker,J.J. Redick,Sindarius Thornwell,,,,,
8563,IND,2021,Justin Holiday,Domantas Sabonis,Malcolm Brogdon,Myles Turner,Jeremy Lamb,Doug McDermott,T.J. McConnell,Goga Bitadze,Aaron Holiday,,,,,,
8564,BOS,2021,Jayson Tatum,Kemba Walker,Grant Williams,Tristan Thompson,Daniel Theis,Carsen Edwards,Payton Pritchard,Semi Ojeleye,Jeff Teague,Robert Williams,,,,,
8565,LAC,2021,Nicolas Batum,Kawhi Leonard,Serge Ibaka,Luke Kennard,Reggie Jackson,Marcus Morris,Lou Williams,Ivica Zubac,Terance Mann,,,,,,
8566,WAS,2021,Bradley Beal,Rui Hachimura,Russell Westbrook,Robin Lopez,Deni Avdija,Ish Smith,Alex Len,Isaac Bonga,Jerome Robinson,Dāvis Bertāns,Troy Brown Jr.,Garrison Mathews,Moritz Wagner,,
8567,MIA,2021,Bam Adebayo,Duncan Robinson,Jimmy Butler,Goran Dragić,Kelly Olynyk,Kendrick Nunn,Tyler Herro,Andre Iguodala,Precious Achiuwa,Max Strus,KZ Okpala,Gabe Vincent,,,
8568,MIN,2021,Anthony Edwards,Malik Beasley,D'Angelo Russell,Naz Reid,Josh Okogie,Jaden McDaniels,Ricky Rubio,Jarred Vanderbilt,Jake Layman,Jaylen Nowell,,,,,
8569,OKC,2021,Hamidou Diallo,Kenrich Williams,Darius Bazley,Isaiah Roby,Al Horford,Justin Jackson,Mike Muscala,Darius Miller,,,,,,,
8570,CHI,2021,Zach LaVine,Patrick Williams,Coby White,Lauri Markkanen,Daniel Gafford,Thaddeus Young,Garrett Temple,Tomáš Satoranský,Denzel Valentine,Chandler Hutchison,,,,,
8571,ORL,2021,Nikola Vučević,Cole Anthony,Evan Fournier,James Ennis III,Gary Clark,Terrence Ross,Dwayne Bacon,Khem Birch,Chuma Okeke,Frank Mason III,,,,,
8572,DET,2021,Jerami Grant,Saddiq Bey,Delon Wright,Mason Plumlee,Blake Griffin,Josh Jackson,Isaiah Stewart,Sekou Doumbouya,Svi Mykhailiuk,Rodney McGruder,Saben Lee,Frank Jackson,,,
8573,PHO,2021,Deandre Ayton,Mikal Bridges,Devin Booker,Chris Paul,Frank Kaminsky,E'Twaun Moore,Cameron Johnson,Abdel Nader,Langston Galloway,Damian Jones,Jevon Carter,Jalen Smith,,,
8574,TOR,2021,Fred VanVleet,Kyle Lowry,Pascal Siakam,Norman Powell,Aron Baynes,Chris Boucher,DeAndre' Bembry,Terence Davis,Stanley Johnson,Yuta Watanabe,,,,,
8575,ATL,2021,Kevin Huerter,Trae Young,John Collins,Cam Reddish,Clint Capela,Danilo Gallinari,Tony Snell,Rajon Rondo,Solomon Hill,Onyeka Okongwu,,,,,
8576,MIL,2021,Giannis Antetokounmpo,Khris Middleton,Donte DiVincenzo,Brook Lopez,Jrue Holiday,Bobby Portis,Bryn Forbes,D.J. Augustin,Pat Connaughton,Torrey Craig,Jaylen Adams,Thanasis Antetokounmpo,D.J. Wilson,,
8577,CLE,2021,Darius Garland,Collin Sexton,Andre Drummond,Isaac Okoro,Larry Nance Jr.,Jarrett Allen,Dylan Windler,Taurean Prince,Cedi Osman,Dean Wade,Lamar Stevens,,,,
8578,GSW,2021,Stephen Curry,Draymond Green,Juan Toscano-Anderson,Kelly Oubre Jr.,Andrew Wiggins,Kent Bazemore,Damion Lee,Brad Wanamaker,Mychal Mulder,,,,,,
8579,DAL,2021,Luka Dončić,Dorian Finney-Smith,Maxi Kleber,Kristaps Porziņģis,Josh Richardson,Tim Hardaway Jr.,Jalen Brunson,Dwight Powell,Trey Burke,,,,,,
8580,SAS,2021,DeMar DeRozan,Dejounte Murray,Derrick White,Jakob Poeltl,Keldon Johnson,Patty Mills,Rudy Gay,Drew Eubanks,Devin Vassell,,,,,,
8581,HOU,2021,John Wall,Victor Oladipo,DeMarcus Cousins,P.J. Tucker,Jae'Sean Tate,Eric Gordon,Danuel House Jr.,David Nwaba,Sterling Brown,,,,,,
8582,DET,2021,Jerami Grant,Mason Plumlee,Delon Wright,Saddiq Bey,Sekou Doumbouya,Svi Mykhailiuk,Josh Jackson,Isaiah Stewart,Rodney McGruder,Saben Lee,,,,,
8583,LAL,2021,LeBron James,Anthony Davis,Kentavious Caldwell-Pope,Dennis Schröder,Marc Gasol,Alex Caruso,Kyle Kuzma,Montrezl Harrell,Talen Horton-Tucker,,,,,,
8584,MEM,2021,Ja Morant,Kyle Anderson,Xavier Tillman Sr.,Dillon Brooks,Gorgui Dieng,Jonas Valančiūnas,Grayson Allen,Tyus Jones,Desmond Bane,De'Anthony Melton,,,,,
8585,NOP,2021,Brandon Ingram,Zion Williamson,Eric Bledsoe,Lonzo Ball,Steven Adams,Josh Hart,Kira Lewis Jr.,Willy Hernangómez,J.J. Redick,,,,,,
8586,POR,2021,Damian Lillard,Robert Covington,Gary Trent Jr.,Enes Freedom,Rodney Hood,Anfernee Simons,Derrick Jones Jr.,Carmelo Anthony,Harry Giles,,,,,,
8587,NYK,2021,Julius Randle,Elfrid Payton,RJ Barrett,Mitchell Robinson,Reggie Bullock,Alec Burks,Taj Gibson,Immanuel Quickley,Obi Toppin,Austin Rivers,,,,,
8588,MIN,2021,Malik Beasley,Anthony Edwards,Naz Reid,Ricky Rubio,Jarred Vanderbilt,Jaden McDaniels,Jordan McLaughlin,Jake Layman,Jaylen Nowell,Josh Okogie,Ed Davis,,,,
8589,OKC,2021,Shai Gilgeous-Alexander,Luguentz Dort,Théo Maledon,Kenrich Williams,Darius Bazley,Hamidou Diallo,Mike Muscala,Justin Jackson,Darius Miller,,,,,,
8590,CHI,2021,Denzel Valentine,Patrick Williams,Zach LaVine,Coby White,Daniel Gafford,Tomáš Satoranský,Thaddeus Young,Garrett Temple,Ryan Arcidiacono,Cristiano Felício,Luke Kornet,,,,
8591,ORL,2021,Dwayne Bacon,Gary Clark,Cole Anthony,James Ennis III,Nikola Vučević,Frank Mason III,Chuma Okeke,Terrence Ross,Khem Birch,Mo Bamba,,,,,
8592,BRK,2021,Timothé Luwawu-Cabarrot,James Harden,Jeff Green,DeAndre Jordan,Joe Harris,Landry Shamet,Tyler Johnson,Bruce Brown,Norvel Pelle,Chris Chiozza,,,,,
8593,PHI,2021,Ben Simmons,Tobias Harris,Joel Embiid,Seth Curry,Danny Green,Shake Milton,Furkan Korkmaz,Matisse Thybulle,Dwight Howard,Tyrese Maxey,Isaiah Joe,,,,
8594,DEN,2021,Nikola Jokić,Will Barton,Monte Morris,Michael Porter Jr.,Paul Millsap,R.J. Hampton,JaMychal Green,Markus Howard,Vlatko Čančar,,,,,,
8595,SAC,2021,Buddy Hield,De'Aaron Fox,Harrison Barnes,Richaun Holmes,Marvin Bagley III,Tyrese Haliburton,Hassan Whiteside,Cory Joseph,Glenn Robinson III,,,,,,
8596,WAS,2021,Bradley Beal,Russell Westbrook,Rui Hachimura,Deni Avdija,Alex Len,Ish Smith,Robin Lopez,Dāvis Bertāns,Moritz Wagner,Raul Neto,Troy Brown Jr.,Isaac Bonga,Garrison Mathews,Anthony Gill,
8597,CHO,2021,LaMelo Ball,Terry Rozier,Gordon Hayward,P.J. Washington,Cody Zeller,Malik Monk,Miles Bridges,Caleb Martin,Bismack Biyombo,Cody Martin,Nick Richards,,,,
8598,UTA,2021,Donovan Mitchell,Bojan Bogdanović,Royce O'Neale,Joe Ingles,Rudy Gobert,Jordan Clarkson,Derrick Favors,Georges Niang,Miye Oni,,,,,,
8599,IND,2021,Malcolm Brogdon,Domantas Sabonis,Justin Holiday,Myles Turner,Jeremy Lamb,Doug McDermott,T.J. McConnell,Aaron Holiday,Goga Bitadze,,,,,,
8600,SAC,2021,Buddy Hield,De'Aaron Fox,Harrison Barnes,Richaun Holmes,Marvin Bagley III,Tyrese Haliburton,Hassan Whiteside,Glenn Robinson III,Cory Joseph,Kyle Guy,Chimezie Metu,,,,
8601,LAC,2021,Kawhi Leonard,Reggie Jackson,Nicolas Batum,Serge Ibaka,Luke Kennard,Lou Williams,Ivica Zubac,Terance Mann,Marcus Morris,,,,,,
8602,MIA,2021,Bam Adebayo,Duncan Robinson,Jimmy Butler,Kendrick Nunn,Kelly Olynyk,Tyler Herro,Andre Iguodala,Gabe Vincent,Precious Achiuwa,,,,,,
8603,NYK,2021,Julius Randle,Mitchell Robinson,Reggie Bullock,Elfrid Payton,RJ Barrett,Alec Burks,Immanuel Quickley,Austin Rivers,Taj Gibson,Obi Toppin,,,,,
8604,BOS,2021,Jayson Tatum,Kemba Walker,Grant Williams,Tristan Thompson,Carsen Edwards,Daniel Theis,Payton Pritchard,Semi Ojeleye,Jeff Teague,Robert Williams,Javonte Green,,,,
8605,PHO,2021,Deandre Ayton,Mikal Bridges,Devin Booker,Chris Paul,Frank Kaminsky,Cameron Johnson,E'Twaun Moore,Langston Galloway,Damian Jones,Jevon Carter,,,,,
8606,WAS,2021,Dāvis Bertāns,Rui Hachimura,Bradley Beal,Alex Len,Raul Neto,Ish Smith,Deni Avdija,Robin Lopez,Garrison Mathews,,,,,,
8607,CHI,2021,Zach LaVine,Patrick Williams,Coby White,Denzel Valentine,Daniel Gafford,Garrett Temple,Thaddeus Young,Tomáš Satoranský,Cristiano Felício,Ryan Arcidiacono,,,,,
8608,HOU,2021,Victor Oladipo,Danuel House Jr.,Jae'Sean Tate,DeMarcus Cousins,P.J. Tucker,David Nwaba,Sterling Brown,Ben McLemore,Mason Jones,Rodions Kurucs,,,,,
8609,CHO,2021,Gordon Hayward,LaMelo Ball,Terry Rozier,Cody Zeller,P.J. Washington,Miles Bridges,Caleb Martin,Malik Monk,Bismack Biyombo,Cody Martin,Nick Richards,,,,
8610,MIN,2021,Malik Beasley,Anthony Edwards,Josh Okogie,Naz Reid,D'Angelo Russell,Ricky Rubio,Jarred Vanderbilt,Jaylen Nowell,Jaden McDaniels,Jake Layman,Juancho Hernangómez,Ed Davis,,,
8611,DAL,2021,Luka Dončić,Josh Richardson,Dorian Finney-Smith,Kristaps Porziņģis,Maxi Kleber,Tim Hardaway Jr.,Jalen Brunson,Dwight Powell,Trey Burke,Wes Iwundu,,,,,
8612,MIL,2021,Khris Middleton,Giannis Antetokounmpo,Donte DiVincenzo,Brook Lopez,Bryn Forbes,Torrey Craig,Pat Connaughton,D.J. Augustin,Bobby Portis,,,,,,
8613,DEN,2021,Nikola Jokić,Will Barton,Jamal Murray,Paul Millsap,Michael Porter Jr.,Monte Morris,JaMychal Green,R.J. Hampton,Vlatko Čančar,,,,,,
8614,OKC,2021,Darius Bazley,Shai Gilgeous-Alexander,Hamidou Diallo,Luguentz Dort,Al Horford,Kenrich Williams,Justin Jackson,Darius Miller,,,,,,,
8615,LAL,2021,LeBron James,Dennis Schröder,Kentavious Caldwell-Pope,Markieff Morris,Marc Gasol,Montrezl Harrell,Talen Horton-Tucker,Wesley Matthews,Kyle Kuzma,,,,,,
8616,TOR,2021,Pascal Siakam,Fred VanVleet,Norman Powell,Aron Baynes,Kyle Lowry,Chris Boucher,DeAndre' Bembry,Terence Davis,Yuta Watanabe,Stanley Johnson,Paul Watson,,,,
8617,MEM,2021,Dillon Brooks,Ja Morant,Jonas Valančiūnas,Kyle Anderson,Desmond Bane,Grayson Allen,Xavier Tillman Sr.,Tyus Jones,Gorgui Dieng,John Konchar,,,,,
8618,CLE,2021,Darius Garland,Andre Drummond,Collin Sexton,Jarrett Allen,Isaac Okoro,Taurean Prince,Cedi Osman,Dylan Windler,Damyean Dotson,JaVale McGee,,,,,
8619,PHO,2021,E'Twaun Moore,Deandre Ayton,Mikal Bridges,Devin Booker,Frank Kaminsky,Cameron Johnson,Jevon Carter,Langston Galloway,Damian Jones,,,,,,
8620,GSW,2021,Andrew Wiggins,Stephen Curry,Kelly Oubre Jr.,Draymond Green,Juan Toscano-Anderson,Damion Lee,Kent Bazemore,Eric Paschall,Brad Wanamaker,Mychal Mulder,,,,,
8621,SAS,2021,Dejounte Murray,DeMar DeRozan,Jakob Poeltl,Keldon Johnson,Derrick White,Patty Mills,Rudy Gay,Devin Vassell,Drew Eubanks,,,,,,
8622,BRK,2021,James Harden,Kyrie Irving,Joe Harris,Jeff Green,DeAndre Jordan,Bruce Brown,Timothé Luwawu-Cabarrot,Landry Shamet,Norvel Pelle,Tyler Johnson,Chris Chiozza,Noah Vonleh,,,
8623,DET,2021,Mason Plumlee,Jerami Grant,Delon Wright,Blake Griffin,Wayne Ellington,Josh Jackson,Saddiq Bey,Isaiah Stewart,Rodney McGruder,Sekou Doumbouya,Saben Lee,,,,
8624,NYK,2021,Julius Randle,Mitchell Robinson,RJ Barrett,Elfrid Payton,Reggie Bullock,Alec Burks,Immanuel Quickley,Derrick Rose,Nerlens Noel,Obi Toppin,,,,,
8625,MIA,2021,Jimmy Butler,Bam Adebayo,Kendrick Nunn,Duncan Robinson,Kelly Olynyk,Tyler Herro,Andre Iguodala,Precious Achiuwa,Gabe Vincent,,,,,,
8626,HOU,2021,John Wall,Eric Gordon,Jae'Sean Tate,P.J. Tucker,DeMarcus Cousins,Danuel House Jr.,Sterling Brown,David Nwaba,Ben McLemore,Mason Jones,Rodions Kurucs,,,,
8627,NOP,2021,Lonzo Ball,Brandon Ingram,Eric Bledsoe,Steven Adams,Zion Williamson,Josh Hart,Willy Hernangómez,Kira Lewis Jr.,Nickeil Alexander-Walker,J.J. Redick,Jaxson Hayes,Wenyen Gabriel,Sindarius Thornwell,,
8628,ORL,2021,Nikola Vučević,James Ennis III,Dwayne Bacon,Gary Clark,Cole Anthony,Frank Mason III,Terrence Ross,Chuma Okeke,Khem Birch,Al-Farouq Aminu,,,,,
8629,POR,2021,Robert Covington,Damian Lillard,Gary Trent Jr.,Derrick Jones Jr.,Enes Freedom,Carmelo Anthony,Anfernee Simons,Rodney Hood,CJ Elleby,Harry Giles,,,,,
8630,PHI,2021,Tobias Harris,Joel Embiid,Ben Simmons,Seth Curry,Danny Green,Matisse Thybulle,Shake Milton,Furkan Korkmaz,Dwight Howard,,,,,,
8631,SAC,2021,De'Aaron Fox,Buddy Hield,Harrison Barnes,Marvin Bagley III,Richaun Holmes,Tyrese Haliburton,Glenn Robinson III,Cory Joseph,Hassan Whiteside,Kyle Guy,,,,,
8632,GSW,2021,Andrew Wiggins,Kelly Oubre Jr.,Stephen Curry,Draymond Green,Juan Toscano-Anderson,Damion Lee,Brad Wanamaker,Eric Paschall,Kent Bazemore,Mychal Mulder,,,,,
8633,SAS,2021,Keldon Johnson,DeMar DeRozan,Dejounte Murray,Devin Vassell,Jakob Poeltl,Trey Lyles,Rudy Gay,Patty Mills,Lonnie Walker IV,Drew Eubanks,Keita Bates-Diop,Quinndary Weatherspoon,,,
8634,BOS,2021,Jayson Tatum,Jaylen Brown,Kemba Walker,Daniel Theis,Tristan Thompson,Grant Williams,Semi Ojeleye,Payton Pritchard,Robert Williams,Jeff Teague,,,,,
8635,UTA,2021,Royce O'Neale,Rudy Gobert,Joe Ingles,Donovan Mitchell,Bojan Bogdanović,Jordan Clarkson,Georges Niang,Derrick Favors,Miye Oni,,,,,,
8636,IND,2021,Domantas Sabonis,Malcolm Brogdon,Justin Holiday,Myles Turner,Jeremy Lamb,T.J. McConnell,Doug McDermott,Aaron Holiday,Goga Bitadze,Edmond Sumner,Kelan Martin,JaKarr Sampson,,,
8637,BRK,2021,DeAndre Jordan,James Harden,Kyrie Irving,Joe Harris,Bruce Brown,Jeff Green,Tyler Johnson,Landry Shamet,Timothé Luwawu-Cabarrot,Chris Chiozza,Norvel Pelle,Noah Vonleh,,,
8638,NOP,2021,Brandon Ingram,Zion Williamson,Lonzo Ball,Steven Adams,Eric Bledsoe,Josh Hart,Kira Lewis Jr.,J.J. Redick,Willy Hernangómez,Nickeil Alexander-Walker,,,,,
8639,CHI,2021,Zach LaVine,Patrick Williams,Coby White,Denzel Valentine,Daniel Gafford,Garrett Temple,Thaddeus Young,Tomáš Satoranský,Ryan Arcidiacono,Luke Kornet,,,,,
8640,ATL,2021,Trae Young,John Collins,Kevin Huerter,Cam Reddish,Clint Capela,Danilo Gallinari,Tony Snell,Solomon Hill,Onyeka Okongwu,Brandon Goodwin,,,,,
8641,DAL,2021,Dorian Finney-Smith,Luka Dončić,Josh Richardson,Maxi Kleber,Kristaps Porziņģis,Jalen Brunson,Tim Hardaway Jr.,Willie Cauley-Stein,Dwight Powell,Trey Burke,,,,,
8642,CLE,2021,Isaac Okoro,Collin Sexton,Darius Garland,Jarrett Allen,Andre Drummond,Taurean Prince,Cedi Osman,Dylan Windler,Lamar Stevens,Damyean Dotson,JaVale McGee,Dean Wade,,,
8643,DEN,2021,Nikola Jokić,Michael Porter Jr.,Will Barton,Paul Millsap,Jamal Murray,Monte Morris,R.J. Hampton,Zeke Nnaji,JaMychal Green,Facundo Campazzo,Isaiah Hartenstein,Markus Howard,Bol Bol,,
8644,OKC,2021,Darius Bazley,Luguentz Dort,Kenrich Williams,Hamidou Diallo,Al Horford,Mike Muscala,Justin Jackson,Darius Miller,,,,,,,
8645,LAL,2021,LeBron James,Kyle Kuzma,Dennis Schröder,Kentavious Caldwell-Pope,Marc Gasol,Montrezl Harrell,Wesley Matthews,Markieff Morris,Talen Horton-Tucker,,,,,,
8646,CHO,2021,Terry Rozier,Gordon Hayward,P.J. Washington,LaMelo Ball,Cody Zeller,Miles Bridges,Malik Monk,Caleb Martin,Bismack Biyombo,Cody Martin,,,,,
8647,MEM,2021,Ja Morant,Dillon Brooks,Jonas Valančiūnas,Desmond Bane,Kyle Anderson,Grayson Allen,Tyus Jones,Gorgui Dieng,Xavier Tillman Sr.,John Konchar,,,,,
8648,LAC,2021,Kawhi Leonard,Nicolas Batum,Reggie Jackson,Serge Ibaka,Patrick Beverley,Lou Williams,Marcus Morris,Terance Mann,Ivica Zubac,Luke Kennard,,,,,
8649,MIN,2021,Malik Beasley,Karl-Anthony Towns,Anthony Edwards,Ricky Rubio,Josh Okogie,Naz Reid,Jordan McLaughlin,Jaden McDaniels,Jaylen Nowell,Jarred Vanderbilt,,,,,
8650,MIL,2021,Giannis Antetokounmpo,Khris Middleton,Donte DiVincenzo,Brook Lopez,Bryn Forbes,Pat Connaughton,Bobby Portis,D.J. Augustin,Torrey Craig,,,,,,
8651,PHO,2021,Devin Booker,Frank Kaminsky,Mikal Bridges,Chris Paul,Deandre Ayton,Jae Crowder,Cameron Johnson,E'Twaun Moore,Langston Galloway,,,,,,
8652,TOR,2021,Pascal Siakam,Fred VanVleet,Kyle Lowry,Norman Powell,Aron Baynes,Chris Boucher,DeAndre' Bembry,Terence Davis,Stanley Johnson,Matt Thomas,Paul Watson,,,,
8653,WAS,2021,Bradley Beal,Russell Westbrook,Rui Hachimura,Dāvis Bertāns,Alex Len,Raul Neto,Deni Avdija,Robin Lopez,Ish Smith,Troy Brown Jr.,Anthony Gill,Garrison Mathews,Jerome Robinson,,
8654,TOR,2021,Fred VanVleet,Pascal Siakam,Kyle Lowry,Norman Powell,Aron Baynes,Chris Boucher,DeAndre' Bembry,Stanley Johnson,Terence Davis,Paul Watson,Matt Thomas,,,,
8655,BOS,2021,Jayson Tatum,Jaylen Brown,Semi Ojeleye,Kemba Walker,Daniel Theis,Payton Pritchard,Tristan Thompson,Grant Williams,Javonte Green,Carsen Edwards,Tacko Fall,Aaron Nesmith,Tremont Waters,,
8656,IND,2021,Domantas Sabonis,Malcolm Brogdon,Justin Holiday,Doug McDermott,Myles Turner,T.J. McConnell,Jeremy Lamb,Aaron Holiday,Edmond Sumner,Goga Bitadze,,,,,
8657,DET,2021,Jerami Grant,Blake Griffin,Delon Wright,Isaiah Stewart,Wayne Ellington,Josh Jackson,Saddiq Bey,Dennis Smith Jr.,Sekou Doumbouya,Svi Mykhailiuk,Deividas Sirvydis,,,,
8658,ORL,2021,James Ennis III,Nikola Vučević,Dwayne Bacon,Gary Clark,Frank Mason III,Terrence Ross,Chuma Okeke,Khem Birch,Mo Bamba,,,,,,
8659,GSW,2021,Stephen Curry,Draymond Green,Andrew Wiggins,Kelly Oubre Jr.,Juan Toscano-Anderson,Damion Lee,Mychal Mulder,Brad Wanamaker,Kent Bazemore,Eric Paschall,,,,,
8660,MIA,2021,Kendrick Nunn,Jimmy Butler,Bam Adebayo,Kelly Olynyk,Duncan Robinson,Andre Iguodala,Max Strus,Gabe Vincent,Precious Achiuwa,,,,,,
8661,HOU,2021,John Wall,Jae'Sean Tate,DeMarcus Cousins,P.J. Tucker,Victor Oladipo,Danuel House Jr.,Eric Gordon,Sterling Brown,David Nwaba,Ben McLemore,,,,,
8662,PHI,2021,Tobias Harris,Ben Simmons,Joel Embiid,Seth Curry,Danny Green,Furkan Korkmaz,Matisse Thybulle,Dwight Howard,Tyrese Maxey,,,,,,
8663,POR,2021,Gary Trent Jr.,Damian Lillard,Enes Freedom,Robert Covington,Derrick Jones Jr.,Carmelo Anthony,Rodney Hood,Anfernee Simons,Harry Giles,,,,,,
8664,SAS,2021,Jakob Poeltl,Keldon Johnson,DeMar DeRozan,Dejounte Murray,Derrick White,Patty Mills,Drew Eubanks,Lonnie Walker IV,Rudy Gay,Devin Vassell,Quinndary Weatherspoon,Trey Lyles,Keita Bates-Diop,,
8665,ATL,2021,Kevin Huerter,Trae Young,John Collins,Clint Capela,Cam Reddish,Solomon Hill,Tony Snell,Skylar Mays,Danilo Gallinari,Onyeka Okongwu,Brandon Goodwin,Bruno Fernando,Nathan Knight,,
8666,DET,2021,Jerami Grant,Blake Griffin,Delon Wright,Isaiah Stewart,Wayne Ellington,Josh Jackson,Saddiq Bey,Svi Mykhailiuk,Dennis Smith Jr.,,,,,,
8667,BOS,2021,Jayson Tatum,Jaylen Brown,Daniel Theis,Payton Pritchard,Semi Ojeleye,Grant Williams,Jeff Teague,Tristan Thompson,Javonte Green,Carsen Edwards,,,,,
8668,LAC,2021,Kawhi Leonard,Nicolas Batum,Reggie Jackson,Serge Ibaka,Patrick Beverley,Terance Mann,Marcus Morris,Lou Williams,Luke Kennard,Ivica Zubac,Mfiondu Kabengele,,,,
8669,CHI,2021,Patrick Williams,Zach LaVine,Coby White,Garrett Temple,Daniel Gafford,Tomáš Satoranský,Thaddeus Young,Denzel Valentine,Luke Kornet,Ryan Arcidiacono,Cristiano Felício,Adam Mokoka,,,
8670,MIN,2021,Malik Beasley,Anthony Edwards,Karl-Anthony Towns,Ricky Rubio,Josh Okogie,Jaden McDaniels,Jordan McLaughlin,Jaylen Nowell,Naz Reid,Jarred Vanderbilt,,,,,
8671,CHO,2021,Terry Rozier,LaMelo Ball,Gordon Hayward,Devonte' Graham,Cody Zeller,Miles Bridges,Bismack Biyombo,Malik Monk,,,,,,,
8672,NOP,2021,Zion Williamson,Brandon Ingram,Eric Bledsoe,Lonzo Ball,Steven Adams,Josh Hart,Willy Hernangómez,Kira Lewis Jr.,J.J. Redick,,,,,,
8673,DAL,2021,Luka Dončić,Maxi Kleber,Dorian Finney-Smith,Josh Richardson,Kristaps Porziņģis,Jalen Brunson,Tim Hardaway Jr.,Willie Cauley-Stein,Trey Burke,Dwight Powell,,,,,
