,team,total,home,team_opp,total_opp,home_opp,date,Season,won,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,PER_Combined,PER_Combined_opp
89,PHO,109,1,LAL,105,0,2024-10-28,2025,True,240.0,40.0,87.0,0.46,11.0,36.0,0.306,18.0,20.0,0.9,9.0,37.0,46.0,21.0,7.0,11.0,11.0,22.0,0.569,0.523,0.414,0.23,20.5,77.1,50.0,52.5,7.2,17.7,10.3,100.0,111.6,107.5,11.0,23.0,0.6,3.0,8.0,0.5,8.0,8.0,1.0,2.0,8.0,10.0,5.0,3.0,4.0,3.0,4.0,33.0,25.0,0.75,0.75,1.0,0.35,8.9,30.5,19.9,24.1,4.8,10.2,31.8,32.5,227.0,118.0,39.0,94.0,0.415,14.0,32.0,0.438,13.0,18.0,0.722,11.0,35.0,46.0,25.0,5.0,6.0,12.0,19.0,0.515,0.489,0.34,0.191,22.9,79.5,50.0,64.1,5.1,11.8,10.5,100.0,107.5,111.6,12.0,24.0,0.533,5.0,9.0,1.0,5.0,6.0,1.0,5.0,10.0,15.0,9.0,2.0,3.0,3.0,5.0,29.0,20.0,0.705,0.7,0.692,0.429,15.9,34.9,22.0,40.8,2.6,8.1,100.0,35.2,139.0,120.0,72.5,84.3
90,LAL,105,0,PHO,109,1,2024-10-28,2025,False,240.0,39.0,94.0,0.415,14.0,32.0,0.438,13.0,18.0,0.722,11.0,35.0,46.0,25.0,5.0,6.0,12.0,19.0,0.515,0.489,0.34,0.191,22.9,79.5,50.0,64.1,5.1,11.8,10.5,100.0,107.5,111.6,12.0,24.0,0.533,5.0,9.0,1.0,5.0,6.0,1.0,5.0,10.0,15.0,9.0,2.0,3.0,3.0,5.0,29.0,20.0,0.705,0.7,0.692,0.429,15.9,34.9,22.0,40.8,2.6,8.1,100.0,35.2,139.0,120.0,40.0,87.0,0.46,11.0,36.0,0.306,18.0,20.0,0.9,9.0,37.0,46.0,21.0,7.0,11.0,11.0,22.0,0.569,0.523,0.414,0.23,20.5,77.1,50.0,52.5,7.2,17.7,10.3,100.0,111.6,107.5,11.0,23.0,0.6,3.0,8.0,0.5,8.0,8.0,1.0,2.0,8.0,10.0,5.0,3.0,4.0,3.0,4.0,33.0,25.0,0.75,0.75,1.0,0.35,8.9,30.5,19.9,24.1,4.8,10.2,31.8,32.5,227.0,118.0,95.4,94.80000000000001
91,NYK,104,1,CLE,110,0,2024-10-28,2025,False,240.0,40.0,90.0,0.444,9.0,28.0,0.321,15.0,18.0,0.833,13.0,30.0,43.0,22.0,8.0,3.0,16.0,21.0,0.531,0.494,0.311,0.2,28.9,76.9,51.2,55.0,8.3,6.5,14.0,100.0,107.9,114.2,9.0,24.0,0.6,2.0,6.0,0.667,6.0,7.0,1.0,4.0,9.0,13.0,7.0,3.0,1.0,5.0,6.0,21.0,3.0,0.666,0.633,0.5,0.6,28.1,34.3,19.6,30.0,3.9,8.8,50.0,32.4,221.0,123.0,39.0,82.0,0.476,12.0,36.0,0.333,20.0,24.0,0.833,9.0,32.0,41.0,21.0,10.0,5.0,14.0,20.0,0.594,0.549,0.439,0.293,23.1,71.1,48.8,53.8,10.4,8.1,13.1,100.0,114.2,107.9,12.0,19.0,0.714,5.0,8.0,1.0,5.0,7.0,1.0,5.0,10.0,15.0,5.0,2.0,3.0,4.0,4.0,34.0,19.0,0.802,0.763,1.0,1.0,19.6,34.0,27.3,27.8,14.9,6.5,25.8,40.4,141.0,116.0,66.2,86.8
92,HOU,106,0,SAS,101,1,2024-10-28,2025,True,240.0,35.0,85.0,0.412,15.0,37.0,0.405,21.0,24.0,0.875,13.0,30.0,43.0,20.0,6.0,2.0,12.0,23.0,0.555,0.5,0.435,0.282,28.9,63.8,46.7,57.1,6.5,3.7,11.2,100.0,115.1,109.7,11.0,22.0,1.0,7.0,13.0,1.0,7.0,7.0,1.0,5.0,7.0,12.0,9.0,2.0,1.0,4.0,5.0,36.0,11.0,0.872,1.0,0.8,0.75,20.4,27.4,24.0,42.2,4.8,4.7,33.8,34.6,243.0,119.0,37.0,87.0,0.425,10.0,33.0,0.303,17.0,21.0,0.81,17.0,32.0,49.0,22.0,6.0,6.0,17.0,21.0,0.525,0.483,0.379,0.241,36.2,71.1,53.3,59.5,6.5,12.5,15.0,100.0,109.7,115.1,9.0,19.0,0.75,3.0,6.0,0.75,4.0,5.0,1.0,5.0,15.0,20.0,5.0,2.0,4.0,4.0,4.0,22.0,8.0,0.955,0.875,0.857,1.0,16.7,45.4,29.6,42.5,8.2,11.4,37.5,30.1,206.0,127.0,91.19999999999999,50.199999999999996
93,MIA,106,1,DET,98,0,2024-10-28,2025,True,240.0,38.0,88.0,0.432,15.0,47.0,0.319,15.0,20.0,0.75,10.0,34.0,44.0,24.0,14.0,3.0,12.0,14.0,0.548,0.517,0.534,0.227,22.2,64.2,44.9,63.2,14.8,5.7,11.0,100.0,111.9,103.5,7.0,20.0,0.636,5.0,12.0,0.667,9.0,11.0,1.0,3.0,9.0,10.0,7.0,4.0,3.0,2.0,3.0,23.0,17.0,0.726,0.636,1.0,1.0,15.8,23.4,14.5,35.5,6.0,7.8,28.6,30.4,168.0,116.0,35.0,91.0,0.385,14.0,38.0,0.368,14.0,17.0,0.824,19.0,35.0,54.0,14.0,6.0,6.0,17.0,19.0,0.498,0.462,0.418,0.187,35.8,77.8,55.1,40.0,6.3,14.6,14.7,100.0,103.5,111.9,9.0,18.0,0.833,5.0,9.0,0.571,7.0,7.0,1.0,7.0,8.0,15.0,6.0,2.0,3.0,5.0,4.0,24.0,7.0,0.833,0.833,0.6,0.7,33.0,44.4,38.2,36.5,3.1,12.2,43.6,29.0,186.0,121.0,77.1,93.9
94,MEM,123,1,CHI,126,0,2024-10-28,2025,False,240.0,51.0,111.0,0.459,14.0,43.0,0.326,7.0,13.0,0.538,18.0,42.0,60.0,37.0,5.0,9.0,10.0,21.0,0.527,0.523,0.387,0.117,31.6,79.2,54.5,72.5,4.8,19.1,7.9,100.0,117.4,120.3,11.0,19.0,0.636,6.0,10.0,0.667,2.0,5.0,1.0,4.0,9.0,13.0,10.0,2.0,3.0,2.0,4.0,30.0,15.0,0.85,0.8,0.727,0.455,12.5,26.8,16.2,37.6,3.7,12.5,20.0,29.2,148.0,126.0,45.0,100.0,0.45,25.0,53.0,0.472,11.0,17.0,0.647,11.0,39.0,50.0,36.0,5.0,6.0,9.0,15.0,0.586,0.575,0.53,0.17,20.8,68.4,45.5,80.0,4.8,8.8,7.7,100.0,120.3,117.4,12.0,22.0,0.8,5.0,12.0,1.0,5.0,9.0,1.0,4.0,9.0,13.0,8.0,1.0,2.0,2.0,4.0,30.0,16.0,0.893,1.1,1.0,1.8,13.0,51.2,26.5,40.4,4.0,5.7,100.0,32.1,182.0,125.0,93.9,77.1
95,CHI,126,0,MEM,123,1,2024-10-28,2025,True,240.0,45.0,100.0,0.45,25.0,53.0,0.472,11.0,17.0,0.647,11.0,39.0,50.0,36.0,5.0,6.0,9.0,15.0,0.586,0.575,0.53,0.17,20.8,68.4,45.5,80.0,4.8,8.8,7.7,100.0,120.3,117.4,12.0,22.0,0.8,5.0,12.0,1.0,5.0,9.0,1.0,4.0,9.0,13.0,8.0,1.0,2.0,2.0,4.0,30.0,16.0,0.893,1.1,1.0,1.8,13.0,51.2,26.5,40.4,4.0,5.7,100.0,32.1,182.0,125.0,51.0,111.0,0.459,14.0,43.0,0.326,7.0,13.0,0.538,18.0,42.0,60.0,37.0,5.0,9.0,10.0,21.0,0.527,0.523,0.387,0.117,31.6,79.2,54.5,72.5,4.8,19.1,7.9,100.0,117.4,120.3,11.0,19.0,0.636,6.0,10.0,0.667,2.0,5.0,1.0,4.0,9.0,13.0,10.0,2.0,3.0,2.0,4.0,30.0,15.0,0.85,0.8,0.727,0.455,12.5,26.8,16.2,37.6,3.7,12.5,20.0,29.2,148.0,126.0,76.3,70.1
96,DAL,110,1,UTA,102,0,2024-10-28,2025,True,240.0,43.0,95.0,0.453,11.0,39.0,0.282,13.0,17.0,0.765,13.0,37.0,50.0,27.0,9.0,12.0,14.0,23.0,0.537,0.511,0.411,0.179,27.1,71.2,50.0,62.8,8.9,21.1,12.0,100.0,109.2,101.3,8.0,22.0,0.7,4.0,11.0,0.75,4.0,6.0,1.0,4.0,10.0,11.0,9.0,4.0,3.0,4.0,5.0,23.0,14.0,0.814,0.9,1.0,0.8,19.6,31.6,19.7,37.6,5.7,12.4,50.0,37.5,153.0,115.0,34.0,92.0,0.37,10.0,35.0,0.286,24.0,29.0,0.828,15.0,35.0,50.0,24.0,7.0,5.0,15.0,17.0,0.487,0.424,0.38,0.315,28.8,72.9,50.0,70.6,7.0,8.9,12.5,100.0,101.3,109.2,9.0,18.0,0.818,3.0,7.0,0.667,6.0,8.0,1.0,4.0,7.0,11.0,5.0,2.0,2.0,3.0,5.0,23.0,4.0,0.901,0.909,1.0,0.727,12.3,23.4,17.6,52.3,4.7,5.7,17.1,34.1,229.0,114.0,70.1,76.3
97,UTA,102,0,DAL,110,1,2024-10-28,2025,False,240.0,34.0,92.0,0.37,10.0,35.0,0.286,24.0,29.0,0.828,15.0,35.0,50.0,24.0,7.0,5.0,15.0,17.0,0.487,0.424,0.38,0.315,28.8,72.9,50.0,70.6,7.0,8.9,12.5,100.0,101.3,109.2,9.0,18.0,0.818,3.0,7.0,0.667,6.0,8.0,1.0,4.0,7.0,11.0,5.0,2.0,2.0,3.0,5.0,23.0,4.0,0.901,0.909,1.0,0.727,12.3,23.4,17.6,52.3,4.7,5.7,17.1,34.1,229.0,114.0,43.0,95.0,0.453,11.0,39.0,0.282,13.0,17.0,0.765,13.0,37.0,50.0,27.0,9.0,12.0,14.0,23.0,0.537,0.511,0.411,0.179,27.1,71.2,50.0,62.8,8.9,21.1,12.0,100.0,109.2,101.3,8.0,22.0,0.7,4.0,11.0,0.75,4.0,6.0,1.0,4.0,10.0,11.0,9.0,4.0,3.0,4.0,5.0,23.0,14.0,0.814,0.9,1.0,0.8,19.6,31.6,19.7,37.6,5.7,12.4,50.0,37.5,153.0,115.0,97.4,96.1
98,CLE,110,0,NYK,104,1,2024-10-28,2025,True,240.0,39.0,82.0,0.476,12.0,36.0,0.333,20.0,24.0,0.833,9.0,32.0,41.0,21.0,10.0,5.0,14.0,20.0,0.594,0.549,0.439,0.293,23.1,71.1,48.8,53.8,10.4,8.1,13.1,100.0,114.2,107.9,12.0,19.0,0.714,5.0,8.0,1.0,5.0,7.0,1.0,5.0,10.0,15.0,5.0,2.0,3.0,4.0,4.0,34.0,19.0,0.802,0.763,1.0,1.0,19.6,34.0,27.3,27.8,14.9,6.5,25.8,40.4,141.0,116.0,40.0,90.0,0.444,9.0,28.0,0.321,15.0,18.0,0.833,13.0,30.0,43.0,22.0,8.0,3.0,16.0,21.0,0.531,0.494,0.311,0.2,28.9,76.9,51.2,55.0,8.3,6.5,14.0,100.0,107.9,114.2,9.0,24.0,0.6,2.0,6.0,0.667,6.0,7.0,1.0,4.0,9.0,13.0,7.0,3.0,1.0,5.0,6.0,21.0,3.0,0.666,0.633,0.5,0.6,28.1,34.3,19.6,30.0,3.9,8.8,50.0,32.4,221.0,123.0,96.1,97.4
99,BOS,119,1,MIL,108,0,2024-10-28,2025,True,240.0,43.0,87.0,0.494,18.0,47.0,0.383,15.0,19.0,0.789,4.0,34.0,38.0,24.0,5.0,5.0,14.0,18.0,0.624,0.598,0.54,0.218,10.3,81.0,46.9,55.8,4.9,9.8,12.8,100.0,115.5,104.9,10.0,19.0,0.8,8.0,12.0,1.0,10.0,14.0,1.0,2.0,8.0,8.0,8.0,2.0,2.0,4.0,5.0,30.0,18.0,1.0,1.0,1.0,0.737,9.7,25.1,14.0,31.9,3.4,9.6,100.0,33.7,242.0,112.0,37.0,82.0,0.451,8.0,31.0,0.258,26.0,31.0,0.839,8.0,35.0,43.0,18.0,7.0,6.0,17.0,24.0,0.565,0.5,0.378,0.378,19.0,89.7,53.1,48.6,6.8,15.0,15.1,100.0,104.9,115.5,14.0,26.0,1.0,2.0,8.0,1.0,17.0,18.0,1.0,4.0,9.0,10.0,7.0,2.0,4.0,7.0,5.0,33.0,4.0,1.33,1.5,1.0,2.0,14.2,45.0,21.7,43.8,2.9,14.9,100.0,38.9,271.0,123.0,86.8,66.2
100,MIL,108,0,BOS,119,1,2024-10-28,2025,False,240.0,37.0,82.0,0.451,8.0,31.0,0.258,26.0,31.0,0.839,8.0,35.0,43.0,18.0,7.0,6.0,17.0,24.0,0.565,0.5,0.378,0.378,19.0,89.7,53.1,48.6,6.8,15.0,15.1,100.0,104.9,115.5,14.0,26.0,1.0,2.0,8.0,1.0,17.0,18.0,1.0,4.0,9.0,10.0,7.0,2.0,4.0,7.0,5.0,33.0,4.0,1.33,1.5,1.0,2.0,14.2,45.0,21.7,43.8,2.9,14.9,100.0,38.9,271.0,123.0,43.0,87.0,0.494,18.0,47.0,0.383,15.0,19.0,0.789,4.0,34.0,38.0,24.0,5.0,5.0,14.0,18.0,0.624,0.598,0.54,0.218,10.3,81.0,46.9,55.8,4.9,9.8,12.8,100.0,115.5,104.9,10.0,19.0,0.8,8.0,12.0,1.0,10.0,14.0,1.0,2.0,8.0,8.0,8.0,2.0,2.0,4.0,5.0,30.0,18.0,1.0,1.0,1.0,0.737,9.7,25.1,14.0,31.9,3.4,9.6,100.0,33.7,242.0,112.0,107.5,78.4
101,ATL,119,1,WAS,121,0,2024-10-28,2025,False,240.0,39.0,81.0,0.481,15.0,40.0,0.375,26.0,36.0,0.722,6.0,33.0,39.0,32.0,12.0,7.0,16.0,22.0,0.614,0.574,0.494,0.444,15.0,78.6,47.6,82.1,11.4,14.9,14.2,100.0,112.8,114.7,11.0,17.0,1.0,4.0,10.0,0.6,8.0,9.0,1.0,3.0,10.0,12.0,13.0,3.0,2.0,6.0,5.0,29.0,14.0,0.926,1.0,0.9,1.333,15.6,35.4,18.1,48.1,4.6,8.0,24.0,29.7,187.0,126.0,41.0,91.0,0.451,21.0,44.0,0.477,18.0,22.0,0.818,9.0,34.0,43.0,24.0,7.0,3.0,18.0,25.0,0.601,0.566,0.484,0.242,21.4,85.0,52.4,58.5,6.6,7.3,15.2,100.0,114.7,112.8,9.0,20.0,1.0,6.0,9.0,0.75,6.0,7.0,1.0,4.0,9.0,11.0,7.0,2.0,2.0,5.0,5.0,26.0,13.0,1.105,1.1,1.0,0.583,16.9,68.2,33.3,26.4,2.8,8.7,35.0,27.7,200.0,116.0,78.4,107.5
102,WAS,121,0,ATL,119,1,2024-10-28,2025,True,240.0,41.0,91.0,0.451,21.0,44.0,0.477,18.0,22.0,0.818,9.0,34.0,43.0,24.0,7.0,3.0,18.0,25.0,0.601,0.566,0.484,0.242,21.4,85.0,52.4,58.5,6.6,7.3,15.2,100.0,114.7,112.8,9.0,20.0,1.0,6.0,9.0,0.75,6.0,7.0,1.0,4.0,9.0,11.0,7.0,2.0,2.0,5.0,5.0,26.0,13.0,1.105,1.1,1.0,0.583,16.9,68.2,33.3,26.4,2.8,8.7,35.0,27.7,200.0,116.0,39.0,81.0,0.481,15.0,40.0,0.375,26.0,36.0,0.722,6.0,33.0,39.0,32.0,12.0,7.0,16.0,22.0,0.614,0.574,0.494,0.444,15.0,78.6,47.6,82.1,11.4,14.9,14.2,100.0,112.8,114.7,11.0,17.0,1.0,4.0,10.0,0.6,8.0,9.0,1.0,3.0,10.0,12.0,13.0,3.0,2.0,6.0,5.0,29.0,14.0,0.926,1.0,0.9,1.333,15.6,35.4,18.1,48.1,4.6,8.0,24.0,29.7,187.0,126.0,49.0,95.0
103,DET,98,0,MIA,106,1,2024-10-28,2025,False,240.0,35.0,91.0,0.385,14.0,38.0,0.368,14.0,17.0,0.824,19.0,35.0,54.0,14.0,6.0,6.0,17.0,19.0,0.498,0.462,0.418,0.187,35.8,77.8,55.1,40.0,6.3,14.6,14.7,100.0,103.5,111.9,9.0,18.0,0.833,5.0,9.0,0.571,7.0,7.0,1.0,7.0,8.0,15.0,6.0,2.0,3.0,5.0,4.0,24.0,7.0,0.833,0.833,0.6,0.7,33.0,44.4,38.2,36.5,3.1,12.2,43.6,29.0,186.0,121.0,38.0,88.0,0.432,15.0,47.0,0.319,15.0,20.0,0.75,10.0,34.0,44.0,24.0,14.0,3.0,12.0,14.0,0.548,0.517,0.534,0.227,22.2,64.2,44.9,63.2,14.8,5.7,11.0,100.0,111.9,103.5,7.0,20.0,0.636,5.0,12.0,0.667,9.0,11.0,1.0,3.0,9.0,10.0,7.0,4.0,3.0,2.0,3.0,23.0,17.0,0.726,0.636,1.0,1.0,15.8,23.4,14.5,35.5,6.0,7.8,28.6,30.4,168.0,116.0,95.0,49.0
104,UTA,96,1,SAC,113,0,2024-10-29,2025,False,240.0,35.0,89.0,0.393,14.0,48.0,0.292,12.0,14.0,0.857,12.0,30.0,42.0,24.0,7.0,4.0,17.0,16.0,0.504,0.472,0.539,0.157,23.1,76.9,46.2,68.6,7.1,6.6,15.2,100.0,97.5,114.7,8.0,16.0,0.667,3.0,10.0,0.6,4.0,4.0,1.0,4.0,6.0,8.0,11.0,2.0,2.0,4.0,4.0,21.0,13.0,0.7,0.7,1.0,0.571,16.1,29.6,16.9,57.3,6.7,6.1,28.6,35.9,123.0,120.0,48.0,92.0,0.522,8.0,31.0,0.258,9.0,14.0,0.643,9.0,40.0,49.0,26.0,9.0,9.0,12.0,19.0,0.576,0.565,0.337,0.152,23.1,76.9,53.8,54.2,9.1,22.0,10.9,100.0,114.7,97.5,13.0,18.0,1.0,2.0,8.0,0.5,2.0,3.0,1.0,3.0,8.0,11.0,8.0,2.0,3.0,3.0,4.0,28.0,23.0,1.0,1.0,1.0,1.0,10.9,70.1,40.1,31.9,5.6,32.5,100.0,52.3,217.0,110.0,86.80000000000001,91.19999999999999
105,SAC,113,0,UTA,96,1,2024-10-29,2025,True,240.0,48.0,92.0,0.522,8.0,31.0,0.258,9.0,14.0,0.643,9.0,40.0,49.0,26.0,9.0,9.0,12.0,19.0,0.576,0.565,0.337,0.152,23.1,76.9,53.8,54.2,9.1,22.0,10.9,100.0,114.7,97.5,13.0,18.0,1.0,2.0,8.0,0.5,2.0,3.0,1.0,3.0,8.0,11.0,8.0,2.0,3.0,3.0,4.0,28.0,23.0,1.0,1.0,1.0,1.0,10.9,70.1,40.1,31.9,5.6,32.5,100.0,52.3,217.0,110.0,35.0,89.0,0.393,14.0,48.0,0.292,12.0,14.0,0.857,12.0,30.0,42.0,24.0,7.0,4.0,17.0,16.0,0.504,0.472,0.539,0.157,23.1,76.9,46.2,68.6,7.1,6.6,15.2,100.0,97.5,114.7,8.0,16.0,0.667,3.0,10.0,0.6,4.0,4.0,1.0,4.0,6.0,8.0,11.0,2.0,2.0,4.0,4.0,21.0,13.0,0.7,0.7,1.0,0.571,16.1,29.6,16.9,57.3,6.7,6.1,28.6,35.9,123.0,120.0,91.19999999999999,86.80000000000001
106,MIN,114,1,DAL,120,0,2024-10-29,2025,False,240.0,39.0,77.0,0.506,19.0,39.0,0.487,17.0,26.0,0.654,11.0,31.0,42.0,33.0,5.0,2.0,20.0,20.0,0.645,0.63,0.506,0.338,28.2,72.1,51.2,84.6,5.2,3.7,18.4,100.0,118.9,125.1,12.0,20.0,0.625,7.0,13.0,1.0,6.0,12.0,1.0,4.0,9.0,9.0,7.0,2.0,1.0,5.0,4.0,37.0,5.0,0.788,0.786,1.0,1.0,15.8,39.1,20.5,38.6,3.8,3.5,36.0,35.9,143.0,133.0,45.0,93.0,0.484,16.0,39.0,0.41,14.0,18.0,0.778,12.0,28.0,40.0,25.0,12.0,2.0,10.0,21.0,0.595,0.57,0.419,0.194,27.9,71.8,48.8,55.6,12.5,5.3,9.0,100.0,125.1,118.9,13.0,27.0,1.0,6.0,8.0,0.75,4.0,5.0,1.0,4.0,7.0,9.0,8.0,3.0,1.0,3.0,5.0,35.0,8.0,1.017,1.0,1.0,1.333,16.6,27.9,19.5,31.8,6.2,6.1,50.0,34.2,212.0,125.0,84.9,70.5
107,DAL,120,0,MIN,114,1,2024-10-29,2025,True,240.0,45.0,93.0,0.484,16.0,39.0,0.41,14.0,18.0,0.778,12.0,28.0,40.0,25.0,12.0,2.0,10.0,21.0,0.595,0.57,0.419,0.194,27.9,71.8,48.8,55.6,12.5,5.3,9.0,100.0,125.1,118.9,13.0,27.0,1.0,6.0,8.0,0.75,4.0,5.0,1.0,4.0,7.0,9.0,8.0,3.0,1.0,3.0,5.0,35.0,8.0,1.017,1.0,1.0,1.333,16.6,27.9,19.5,31.8,6.2,6.1,50.0,34.2,212.0,125.0,39.0,77.0,0.506,19.0,39.0,0.487,17.0,26.0,0.654,11.0,31.0,42.0,33.0,5.0,2.0,20.0,20.0,0.645,0.63,0.506,0.338,28.2,72.1,51.2,84.6,5.2,3.7,18.4,100.0,118.9,125.1,12.0,20.0,0.625,7.0,13.0,1.0,6.0,12.0,1.0,4.0,9.0,9.0,7.0,2.0,1.0,5.0,4.0,37.0,5.0,0.788,0.786,1.0,1.0,15.8,39.1,20.5,38.6,3.8,3.5,36.0,35.9,143.0,133.0,70.5,84.9
108,GSW,124,1,NOP,106,0,2024-10-29,2025,True,240.0,46.0,97.0,0.474,21.0,46.0,0.457,11.0,13.0,0.846,11.0,23.0,34.0,34.0,15.0,9.0,8.0,20.0,0.604,0.582,0.474,0.134,23.9,71.9,43.6,73.9,15.4,17.3,7.2,100.0,127.5,109.0,9.0,18.0,1.0,7.0,11.0,0.833,4.0,4.0,1.0,5.0,5.0,9.0,7.0,5.0,2.0,2.0,4.0,28.0,26.0,1.063,1.063,0.75,2.0,26.2,30.1,27.8,38.4,18.2,11.5,100.0,47.9,246.0,121.0,40.0,74.0,0.541,9.0,22.0,0.409,17.0,24.0,0.708,9.0,35.0,44.0,23.0,4.0,6.0,24.0,13.0,0.627,0.601,0.297,0.324,28.1,76.1,56.4,57.5,4.1,11.8,22.1,100.0,109.0,127.5,12.0,19.0,1.0,3.0,6.0,1.0,6.0,8.0,1.0,2.0,6.0,8.0,5.0,1.0,2.0,7.0,3.0,31.0,7.0,1.5,1.5,1.0,0.833,15.5,29.4,20.2,44.2,2.5,8.6,33.3,42.9,300.0,136.0,34.2,96.1
109,NOP,106,0,GSW,124,1,2024-10-29,2025,False,240.0,40.0,74.0,0.541,9.0,22.0,0.409,17.0,24.0,0.708,9.0,35.0,44.0,23.0,4.0,6.0,24.0,13.0,0.627,0.601,0.297,0.324,28.1,76.1,56.4,57.5,4.1,11.8,22.1,100.0,109.0,127.5,12.0,19.0,1.0,3.0,6.0,1.0,6.0,8.0,1.0,2.0,6.0,8.0,5.0,1.0,2.0,7.0,3.0,31.0,7.0,1.5,1.5,1.0,0.833,15.5,29.4,20.2,44.2,2.5,8.6,33.3,42.9,300.0,136.0,46.0,97.0,0.474,21.0,46.0,0.457,11.0,13.0,0.846,11.0,23.0,34.0,34.0,15.0,9.0,8.0,20.0,0.604,0.582,0.474,0.134,23.9,71.9,43.6,73.9,15.4,17.3,7.2,100.0,127.5,109.0,9.0,18.0,1.0,7.0,11.0,0.833,4.0,4.0,1.0,5.0,5.0,9.0,7.0,5.0,2.0,2.0,4.0,28.0,26.0,1.063,1.063,0.75,2.0,26.2,30.1,27.8,38.4,18.2,11.5,100.0,47.9,246.0,121.0,96.1,34.2
110,BRK,139,1,DEN,144,0,2024-10-29,2025,False,265.0,49.0,96.0,0.51,20.0,52.0,0.385,21.0,27.0,0.778,7.0,34.0,41.0,37.0,4.0,6.0,9.0,32.0,0.644,0.615,0.542,0.281,17.1,79.1,48.8,75.5,3.8,9.7,7.7,100.0,132.1,136.9,10.0,22.0,0.889,6.0,11.0,0.8,9.0,11.0,1.0,2.0,10.0,12.0,14.0,1.0,3.0,3.0,6.0,28.0,8.0,1.125,1.125,1.0,1.0,12.3,47.2,29.0,49.1,3.0,9.8,20.0,32.9,184.0,144.0,46.0,89.0,0.517,13.0,27.0,0.481,39.0,47.0,0.83,9.0,34.0,43.0,31.0,3.0,4.0,5.0,22.0,0.656,0.59,0.303,0.528,20.9,82.9,51.2,67.4,2.9,9.1,4.4,100.0,136.9,132.1,9.0,19.0,0.727,4.0,7.0,1.0,11.0,13.0,1.0,6.0,12.0,18.0,16.0,1.0,2.0,1.0,5.0,29.0,9.0,0.852,0.773,0.636,1.0,18.3,38.3,28.0,61.1,2.4,6.2,14.3,39.1,164.0,136.0,80.4,97.4
111,DEN,144,0,BRK,139,1,2024-10-29,2025,True,265.0,46.0,89.0,0.517,13.0,27.0,0.481,39.0,47.0,0.83,9.0,34.0,43.0,31.0,3.0,4.0,5.0,22.0,0.656,0.59,0.303,0.528,20.9,82.9,51.2,67.4,2.9,9.1,4.4,100.0,136.9,132.1,9.0,19.0,0.727,4.0,7.0,1.0,11.0,13.0,1.0,6.0,12.0,18.0,16.0,1.0,2.0,1.0,5.0,29.0,9.0,0.852,0.773,0.636,1.0,18.3,38.3,28.0,61.1,2.4,6.2,14.3,39.1,164.0,136.0,49.0,96.0,0.51,20.0,52.0,0.385,21.0,27.0,0.778,7.0,34.0,41.0,37.0,4.0,6.0,9.0,32.0,0.644,0.615,0.542,0.281,17.1,79.1,48.8,75.5,3.8,9.7,7.7,100.0,132.1,136.9,10.0,22.0,0.889,6.0,11.0,0.8,9.0,11.0,1.0,2.0,10.0,12.0,14.0,1.0,3.0,3.0,6.0,28.0,8.0,1.125,1.125,1.0,1.0,12.3,47.2,29.0,49.1,3.0,9.8,20.0,32.9,184.0,144.0,97.4,80.4
